condition,seed,numerator,denominator,commit_delta,commit_delta_defined,complete,successful,total_ms_delta,total_ms_delta_defined,total_ms_ratio,total_ms_ratio_defined,validator_rate_ratio,validator_rate_ratio_defined
main-l2-n40-uniform-k1,29,adaptive,accept_static_degree,0,3,True,3,0.002244000000000003,3,1.0423572048774963,3,0.9593640215855999,3
main-l2-n40-uniform-k1,29,graph,adaptive,0,3,True,3,0.006310999999999997,3,1.1142841621093043,3,0.8974371475468448,3
main-l2-n40-uniform-k1,29,paper,adaptive,0,3,True,3,-0.015883,3,0.7123791242620694,3,1.4037469178169248,3
main-l2-n40-uniform-k1,47,adaptive,accept_id,0,3,True,3,0.009930000000000001,3,1.2254614808255568,3,0.8160191206714468,3
main-l2-n40-uniform-k1,47,adaptive,accept_static_degree,0,3,True,3,0.001110999999999994,3,1.0206336824901567,3,0.979783459193886,3
main-l2-n40-uniform-k1,47,graph,adaptive,0,3,True,3,0.0021839999999999984,3,1.040671905843793,3,0.9609176479009341,3
main-l2-n40-uniform-k1,47,paper,adaptive,0,3,True,3,-0.014842000000000001,3,0.7250106534748856,3,1.3792900769211112,3
main-l2-n40-uniform-k1,71,adaptive,accept_id,0,3,True,3,0.0016040000000000013,3,1.0343204382060938,3,0.9668183698800165,3
main-l2-n40-uniform-k1,71,adaptive,accept_static_degree,0,3,True,3,-0.004011999999999995,3,0.9216115355307635,3,1.0850558629608429,3
main-l2-n40-uniform-k1,71,graph,adaptive,0,3,True,3,-0.0013649999999999982,3,0.9717625155151014,3,1.0290580095795636,3
main-l2-n40-uniform-k1,71,paper,adaptive,0,3,True,3,-0.010054,3,0.7883992086542914,3,1.268392952482648,3
main-l2-n40-uniform-k1,101,adaptive,accept_id,0,3,True,3,0.008867000000000007,3,1.196415913521177,3,0.8358297383866248,3
main-l2-n40-uniform-k1,101,adaptive,accept_static_degree,0,3,True,3,-0.0014139999999999986,3,0.9736807817589577,3,1.027030643650475,3
main-l2-n40-uniform-k1,101,graph,adaptive,0,3,True,3,0.003494999999999998,3,1.064709040750958,3,0.9392237331756687,3
main-l2-n40-uniform-k1,101,paper,adaptive,0,3,True,3,-0.015481000000000002,3,0.713373201755198,3,1.40179081235401,3
main-l2-n40-zipf-k1,11,adaptive,accept_id,0,3,True,3,0.042547999999999996,3,1.9594768294057954,3,0.5103403035917738,3
main-l2-n40-zipf-k1,11,adaptive,accept_static_degree,0,3,True,3,0.031188,3,1.5598779283726776,3,0.6410758058761925,3
main-l2-n40-zipf-k1,11,graph,adaptive,0,3,True,3,-0.008893999999999999,3,0.8984065337826261,3,1.1130818425703424,3
main-l2-n40-zipf-k1,11,paper,adaptive,0,3,True,3,-0.0278,3,0.6809328696530432,3,1.4685735475062787,3
main-l2-n40-zipf-k1,29,adaptive,accept_id,1,3,True,3,0.04187300000000001,3,1.896522930672719,3,0.5483719617516566,3
main-l2-n40-zipf-k1,29,adaptive,accept_static_degree,0,3,True,3,0.031717999999999996,3,1.558012702098837,3,0.6418432909134024,3
main-l2-n40-zipf-k1,29,graph,adaptive,0,3,True,3,-0.012351,3,0.8605651452375845,3,1.1620270766647427,3
main-l2-n40-zipf-k1,29,paper,adaptive,0,3,True,3,-0.030183,3,0.6592533218934511,3,1.5168675936707992,3
main-l2-n40-zipf-k1,47,adaptive,accept_id,0,3,True,3,0.041948000000000006,3,1.9659428466161606,3,0.5086617862371888,3
main-l2-n40-zipf-k1,47,adaptive,accept_static_degree,0,3,True,3,0.031094000000000004,3,1.572833956633076,3,0.6357950219619326,3
main-l2-n40-zipf-k1,47,graph,adaptive,0,3,True,3,-0.004469000000000001,3,0.9476544655929722,3,1.0552369416359726,3
main-l2-n40-zipf-k1,47,paper,adaptive,0,3,True,3,-0.018944000000000003,3,0.778108345534407,3,1.2851680691243546,3
main-l2-n40-zipf-k1,71,adaptive,accept_id,1,3,True,3,0.04858300000000001,3,2.066356954652614,3,0.5041078039886805,3
main-l2-n40-zipf-k1,71,adaptive,accept_static_degree,0,3,True,3,0.040531000000000005,3,1.7436607830905289,3,0.5735060452684857,3
main-l2-n40-zipf-k1,71,graph,adaptive,0,3,True,3,-0.011185,3,0.8823040417539171,3,1.1333961454059724,3
