condition,mode,commit_count_count,commit_count_maximum,commit_count_median,commit_count_minimum,complete,complete_seeds,expected_seeds,fvs_size_count,fvs_size_maximum,fvs_size_median,fvs_size_minimum,peak_rss_kib_count,peak_rss_kib_maximum,peak_rss_kib_median,peak_rss_kib_minimum,total_ms_count,total_ms_maximum,total_ms_median,total_ms_minimum,validator_commits_per_second_count,validator_commits_per_second_maximum,validator_commits_per_second_median,validator_commits_per_second_minimum
main-l3-n40-uniform-k1,graph,5,40,39,38,True,5,5,5,2,1,0,5,2052,2000,1964,5,0.070347,0.063675,0.052515,5,761687.1370084737,612485.2767962309,540179.3964206007
main-l3-n40-uniform-k1,lazy,5,40,39,38,True,5,5,5,2,1,0,5,2036,2016,2000,5,0.0777,0.066543,0.052805,5,757504.0242401288,586087.191740679,489060.48906048905
main-l3-n40-uniform-k1,paper,5,40,39,38,True,5,5,5,2,1,0,5,2052,2004,1976,5,0.052264,0.047453,0.044966,5,889561.0016456879,821865.8462057193,727077.9121383744
main-l3-n40-uniform-k1,profile,5,40,39,38,True,5,5,5,2,1,0,5,2072,2016,1984,5,0.089369,0.080302,0.052605,5,760383.9939169281,485666.60855271353,425203.3702961877
main-l3-n40-zipf-k1,accept_id,5,23,20,17,True,5,5,5,23,20,17,5,2036,2016,1980,5,0.053082,0.05105,0.049461,5,450538.6875612145,380365.5312755558,340217.73935318604
main-l3-n40-zipf-k1,accept_static_degree,5,24,20,19,True,5,5,5,21,20,16,5,2008,1996,1980,5,0.139086,0.137468,0.134677,5,175162.02487300753,143795.92482349052,137556.56108597285
main-l3-n40-zipf-k1,adaptive,5,24,20,19,True,5,5,5,21,20,16,5,4020,3880,3776,5,0.151711,0.149269,0.146097,5,163711.8943512575,133986.29320220542,125238.11720969474
main-l3-n40-zipf-k1,graph,5,24,20,19,True,5,5,5,21,20,16,5,2036,2004,2000,5,0.109636,0.106492,0.101403,5,233109.2894051828,187807.5348382977,173300.74063263892
main-l3-n40-zipf-k1,lazy,5,24,20,19,True,5,5,5,21,20,16,5,3960,3876,3780,5,0.154367,0.14652,0.142167,5,168815.5479119627,135607.93035176696,123083.30148282988
main-l3-n40-zipf-k1,paper,5,24,20,19,True,5,5,5,21,20,16,5,2072,2020,2000,5,0.085498,0.084454,0.075585,5,317523.31811867433,236815.3077414924,222227.4205244567
main-l3-n40-zipf-k1,profile,5,24,20,19,True,5,5,5,21,20,16,5,4096,4084,4008,5,0.185321,0.181567,0.175402,5,136828.54243395172,110152.17523008035,102524.80830558867
main-l4-n40-uniform-k1,accept_id,5,40,39,37,True,5,5,5,3,1,0,5,2052,2016,2000,5,0.063977,0.060081,0.058341,5,668483.570730704,649123.6830279123,601655.3653023725
main-l4-n40-uniform-k1,accept_static_degree,5,40,39,37,True,5,5,5,3,1,0,5,2036,2000,1956,5,0.273135,0.252627,0.246993,5,157899.21171855074,154216.63878904353,146447.72731433174
main-l4-n40-uniform-k1,adaptive,5,40,39,37,True,5,5,5,3,1,0,5,3880,2008,1992,5,0.115947,0.086141,0.070935,5,563896.5249876648,452746.07910286624,319111.3181022364
main-l4-n40-uniform-k1,graph,5,40,39,37,True,5,5,5,3,1,0,5,2056,2012,2004,5,0.080932,0.077027,0.074143,5,526010.5471858436,506315.96712840954,469298.96881064423
main-l4-n40-uniform-k1,lazy,5,40,39,37,True,5,5,5,3,1,0,5,3860,2016,1980,5,0.119283,0.085706,0.073972,5,540745.1468123074,455043.9875854666,310186.69885901595
main-l4-n40-uniform-k1,paper,5,40,39,37,True,5,5,5,3,1,0,5,2020,1996,1984,5,0.060759,0.058649,0.057898,5,673598.3971812498,664972.97481628,608963.2811599928
main-l4-n40-uniform-k1,profile,5,40,39,37,True,5,5,5,3,1,0,5,4172,2036,1968,5,0.132585,0.100891,0.072961,5,548238.0998067461,386555.7879295478,279066.2593807746
main-l4-n40-zipf-k1,accept_id,5,17,15,13,True,5,5,5,27,25,23,5,2016,2004,1956,5,0.081842,0.07855,0.060376,5,265005.96263415925,189729.31950417403,165499.6817313813
main-l4-n40-zipf-k1,accept_static_degree,5,18,16,14,True,5,5,5,26,24,22,5,2016,2000,1980,5,0.428456,0.410092,0.29002,5,61711.253046993115,37670.19275366755,34138.68107644138
main-l4-n40-zipf-k1,adaptive,5,18,16,14,True,5,5,5,26,24,22,5,3980,3908,3860,5,0.39035,0.275829,0.252351,5,71329.22001497913,58006.95358356083,35865.24913539132
main-l4-n40-zipf-k1,graph,5,18,16,14,True,5,5,5,26,24,22,5,2072,1996,1984,5,0.203041,0.149173,0.138091,5,130348.82794678872,100554.38986948041,68951.59105796367
main-l4-n40-zipf-k1,lazy,5,18,16,14,True,5,5,5,26,24,22,5,3968,3908,3860,5,0.382723,0.341315,0.259007,5,65635.29171026267,46915.02438017434,36579.98082163863
main-l4-n40-zipf-k1,paper,5,18,16,14,True,5,5,5,26,24,22,5,2036,1996,1976,5,0.163914,0.140809,0.107713,5,167110.74800627594,113629.10041261568,85410.64216601389
main-l4-n40-zipf-k1,profile,5,18,16,14,True,5,5,5,26,24,22,5,3984,3928,3856,5,0.465872,0.352329,0.315444,5,53892.29150023459,42573.84433299558,30051.172854346256
paper_k-l2-n40-uniform-k2,accept_id,5,40,39,39,True,5,5,5,1,1,0,5,2020,2008,1984,5,0.064539,0.049297,0.045577,5,877635.6495600851,791123.192080654,619780.2878879437
paper_k-l2-n40-uniform-k2,accept_static_degree,5,40,39,39,True,5,5,5,1,1,0,5,2016,1988,1976,5,0.059384,0.053802,0.050206,5,796717.5238019361,724880.1159808185,656742.5569176882
paper_k-l2-n40-uniform-k2,adaptive,5,40,38,38,True,5,5,5,2,2,0,5,2052,2016,2000,5,0.074199,0.05477,0.047745,5,837784.0611582365,693810.480189885,512136.2821601369
paper_k-l2-n40-uniform-k2,graph,5,40,38,38,True,5,5,5,2,2,0,5,2016,2000,1984,5,0.067274,0.061217,0.047888,5,835282.325425994,620742.6041785779,594583.3457204864
