condition,seed,repetition,numerator,denominator,commit_delta,status,total_ms_delta,total_ms_ratio,undefined_rate_ratio,undefined_time_ratio,validator_rate_ratio
main-l1-n40-uniform-k1,71,2,graph,adaptive,0,ok,0.0007269999999999985,1.0194073678590496,False,False,0.9809621075235028
main-l1-n40-uniform-k1,71,2,adaptive,accept_static_degree,0,ok,-0.002570999999999997,0.935774774549724,False,False,1.0686332087560064
main-l1-n40-uniform-k1,71,2,adaptive,accept_id,0,ok,0.0005679999999999991,1.015396291878998,False,False,0.9848371596369461
main-l1-n40-uniform-k1,71,3,paper,adaptive,0,ok,-0.011612999999999998,0.682791586998088,False,False,1.4645757490898907
main-l1-n40-uniform-k1,71,3,graph,adaptive,0,ok,0.0006330000000000016,1.0172903578257306,False,False,0.9830035174395189
main-l1-n40-uniform-k1,71,3,adaptive,accept_static_degree,0,ok,-0.0023220000000000046,0.9403575464913181,False,False,1.0634252936356188
main-l1-n40-uniform-k1,71,3,adaptive,accept_id,0,ok,-0.004202000000000004,0.8970400862491423,False,False,1.1147773832286263
main-l1-n40-uniform-k1,101,1,paper,adaptive,0,ok,-0.009087999999999999,0.7811175337186899,False,False,1.2802170695609274
main-l1-n40-uniform-k1,101,1,graph,adaptive,0,ok,-0.0046700000000000005,0.88752408477842,False,False,1.1267299864314788
main-l1-n40-uniform-k1,101,1,adaptive,accept_static_degree,0,ok,0.0009919999999999998,1.0244769048559021,False,False,0.9761078998073218
main-l1-n40-uniform-k1,101,1,adaptive,accept_id,0,ok,0.009172,1.283541486336095,False,False,0.7790944123314066
main-l1-n40-uniform-k1,101,2,paper,adaptive,0,ok,-0.007407999999999998,0.8105128533060494,False,False,1.2337867264177738
main-l1-n40-uniform-k1,101,2,graph,adaptive,0,ok,0.002491,1.0637165877989512,False,False,0.9401000336651757
main-l1-n40-uniform-k1,101,2,adaptive,accept_static_degree,0,ok,-0.0027679999999999996,0.9338795595155627,False,False,1.0708018928251695
main-l1-n40-uniform-k1,101,2,adaptive,accept_id,0,ok,0.00040799999999999864,1.010546178302789,False,False,0.9895638828494694
main-l1-n40-uniform-k1,101,3,paper,adaptive,0,ok,-0.012976000000000001,0.6717927964386887,False,False,1.4885542168674697
main-l1-n40-uniform-k1,101,3,graph,adaptive,0,ok,0.0017759999999999998,1.0449210845811412,False,False,0.9570100697134004
main-l1-n40-uniform-k1,101,3,adaptive,accept_static_degree,0,ok,0.001349000000000003,1.0353261581166366,False,False,0.9658791987049777
main-l1-n40-uniform-k1,101,3,adaptive,accept_id,0,ok,0.0008510000000000045,1.0219981905131188,False,False,0.9784753136382031
main-l1-n40-zipf-k1,11,1,paper,adaptive,0,ok,-0.014984999999999998,0.7910449842429651,False,False,1.2641506107987097
main-l1-n40-zipf-k1,11,1,graph,adaptive,0,ok,0.005288000000000001,1.0737373455671138,False,False,0.9313264590530117
main-l1-n40-zipf-k1,11,1,adaptive,accept_static_degree,0,ok,0.016850999999999998,1.3071468931702603,False,False,0.7650249602588058
main-l1-n40-zipf-k1,11,1,adaptive,accept_id,0,ok,0.018152,1.338896979201673,False,False,0.7468834537189389
main-l1-n40-zipf-k1,11,2,paper,adaptive,0,ok,-0.029313999999999993,0.5700687854743852,False,False,1.7541742777020244
main-l1-n40-zipf-k1,11,2,graph,adaptive,0,ok,-0.009283999999999994,0.8638370268248684,False,False,1.1576257661420397
main-l1-n40-zipf-k1,11,2,adaptive,accept_static_degree,0,ok,0.01220199999999999,1.2179668101677352,False,False,0.8210404352991216
main-l1-n40-zipf-k1,11,2,adaptive,accept_id,0,ok,0.031355999999999995,1.851440519184294,False,False,0.5401199712538316
main-l1-n40-zipf-k1,11,3,paper,adaptive,0,ok,-0.021332000000000004,0.6896576807250825,False,False,1.4499947262946946
main-l1-n40-zipf-k1,11,3,graph,adaptive,0,ok,-0.012966000000000005,0.8113679677611766,False,False,1.2324864176722672
main-l1-n40-zipf-k1,11,3,adaptive,accept_static_degree,0,ok,0.02876200000000001,1.7194996873045656,False,False,0.5815645140171959
main-l1-n40-zipf-k1,11,3,adaptive,accept_id,0,ok,0.027787000000000006,1.6785592185592186,False,False,0.5957490143590788
main-l1-n40-zipf-k1,29,1,paper,adaptive,0,ok,-0.029398000000000007,0.5605088875932487,False,False,1.784093030699064
main-l1-n40-zipf-k1,29,1,graph,adaptive,0,ok,-0.011606000000000005,0.8264938482008042,False,False,1.2099303608573757
main-l1-n40-zipf-k1,29,1,adaptive,accept_static_degree,0,ok,0.023941000000000004,1.5574155995343424,False,False,0.6420893692723983
main-l1-n40-zipf-k1,29,1,adaptive,accept_id,0,ok,0.026990000000000007,1.6764241497706827,False,False,0.5965077514164835
main-l1-n40-zipf-k1,29,2,paper,adaptive,0,ok,-0.03564,0.6151520387007602,False,False,1.6256143800028084
main-l1-n40-zipf-k1,29,2,graph,adaptive,0,ok,-0.029064999999999994,0.6861502246026262,False,False,1.4574067953983914
main-l1-n40-zipf-k1,29,2,adaptive,accept_static_degree,0,ok,0.047028999999999994,2.0318128962899578,False,False,0.4921713026952316
main-l1-n40-zipf-k1,29,2,adaptive,accept_id,0,ok,0.04072799999999999,1.785042405551272,False,False,0.560210780926054
main-l1-n40-zipf-k1,29,3,paper,adaptive,0,ok,-0.033958999999999996,0.6210440565995626,False,False,1.6101917237166008
main-l1-n40-zipf-k1,29,3,graph,adaptive,0,ok,-0.007686999999999999,0.9142190778020801,False,False,1.0938297223069882
main-l1-n40-zipf-k1,29,3,adaptive,accept_static_degree,0,ok,0.034393,1.6228472083884171,False,False,0.6162009552292104
main-l1-n40-zipf-k1,29,3,adaptive,accept_id,0,ok,0.038159,1.7416282821215479,False,False,0.5741753336606705
main-l1-n40-zipf-k1,47,1,paper,adaptive,0,ok,-0.015336999999999996,0.7445961698584513,False,False,1.343009862903406
main-l1-n40-zipf-k1,47,1,graph,adaptive,0,ok,0.002905999999999999,1.0483930058284763,False,False,0.953840777686003
main-l1-n40-zipf-k1,47,1,adaptive,accept_static_degree,0,ok,0.003258999999999998,1.0573858533922629,False,False,0.9457285595337219
main-l1-n40-zipf-k1,47,1,adaptive,accept_id,0,ok,0.011126999999999998,1.2274390368538315,False,False,0.8147044129891757
main-l1-n40-zipf-k1,47,2,paper,adaptive,0,ok,-0.022213999999999998,0.6275006288253543,False,False,1.5936239010181448
main-l1-n40-zipf-k1,47,2,graph,adaptive,0,ok,-0.007969999999999998,0.8663536513792236,False,False,1.1542630407432497
main-l1-n40-zipf-k1,47,2,adaptive,accept_static_degree,0,ok,0.016439000000000002,1.380567645152329,False,False,0.7243397333780498
main-l1-n40-zipf-k1,47,2,adaptive,accept_id,0,ok,0.019378,1.4813572794793453,False,False,0.6750565942818815
main-l1-n40-zipf-k1,47,3,paper,adaptive,0,ok,-0.012799999999999999,0.7821795657205092,False,False,1.2784788095030895
main-l1-n40-zipf-k1,47,3,graph,adaptive,0,ok,-0.008504999999999999,0.8552685317541352,False,False,1.1692234226705664
main-l1-n40-zipf-k1,47,3,adaptive,accept_static_degree,0,ok,0.004330999999999995,1.0795657046277074,False,False,0.9262984139949629
main-l1-n40-zipf-k1,47,3,adaptive,accept_id,0,ok,0.00809,1.159647945692071,False,False,0.8623306786467905
