condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,seed,repetition,status,trace_sha256,id,commit_count,abort_count,batch_ms,selector_ms,effective_commits_per_second,ms_per_commit,peak_rss_kib,runner_peak_rss_kib,read_wall_ms,commit_wall_ms,extract_ms,read_worker_ms,commit_worker_ms,reservation_worker_ms,dependency_worker_ms,apply_worker_ms,sync_wait_ms,selector_initial_core_size,selector_subsets,selector_incidences,selector_profiles,selector_heavy_subsets,selector_profile_links,selector_B,selector_degree_queries,selector_light_scans,selector_heavy_updates,selector_tree_updates,selector_trim_key_visits,selector_switches,selector_switch_round,selector_switch_remaining,selector_switch_queries,selector_graph_bytes,selector_index_payload_bytes,selector_normalize_ms,selector_build_ms,selector_trim_ms,selector_select_ms,selector_switch_ms,selector_certificate_ms,selector_kernel_ms,selector_total_ms,selector_count_ms,selector_sort_ms,selector_initial_degree_evaluations,selector_acceptance_key_visits,selector_degree_requeries
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,11,3,ok,0b32ab31bed4d253a439e316f733fb32ee3f375b9a0d5e135f580fd12721edcc,l2-n128-uniform-w1-s11-r3-measure-eas_k1_adaptive,126,2,0.394936,0.150783,319039.034173,0.00313441269841,8112,8112,0.209046,0.034937,0.097212,0.131753,0.03343,0.017514,0,0.022686,0.0788,4,10,12,0,0,0,0,5,0,0,0,768,0,0,0,0,0,4928,0.097212,0.009187,0.014612,0.00132,0,0.004218,0.046787,0.150783,0,0,0,0,1
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,3,ok,0b32ab31bed4d253a439e316f733fb32ee3f375b9a0d5e135f580fd12721edcc,l2-n128-uniform-w1-s11-r3-measure-native,126,2,0.164896,0,764117.989521,0.0013086984127,7960,7960,0.126814,0.038008,0,0.124951,0.036768,0.018132,0.007089,0.015062,0.003103,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,3,ok,0b32ab31bed4d253a439e316f733fb32ee3f375b9a0d5e135f580fd12721edcc,l2-n128-uniform-w1-s11-r3-measure-accept_id,126,2,0.285368,0.13344,441535.14059,0.00226482539683,8184,8184,0.122802,0.029022,0.095455,0.121038,0.0277,0.01761,0,0.018233,0.003086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095455,0,0,0.003971,0,0.00312,0.031593,0.13344,0,0.000182,0,506,0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,11,3,ok,0b32ab31bed4d253a439e316f733fb32ee3f375b9a0d5e135f580fd12721edcc,l2-n128-uniform-w1-s11-r3-measure-accept_static_degree,126,2,0.36256,0.209848,347528.684907,0.00287746031746,8048,8048,0.124987,0.02762,0.148292,0.123478,0.026209,0.017536,0,0.016727,0.00292,0,382,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4080,0.148292,0,0,0.006172,0,0.002742,0.054957,0.209848,0.01605,0.00568,128,506,0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,3,ok,0b32ab31bed4d253a439e316f733fb32ee3f375b9a0d5e135f580fd12721edcc,l2-n128-uniform-w1-s11-r3-measure-eas_k2_adaptive,124,4,0.308221,0.150468,402308.733019,0.00248565322581,8256,8256,0.126078,0.031582,0.096686,0.124068,0.03036,0.017783,0,0.020983,0.003232,4,10,12,0,0,0,0,6,0,0,0,768,0,0,0,0,0,4928,0.096686,0.008983,0.014586,0.002075,0,0.00395,0.04724,0.150468,0,0,0,0,2
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,29,1,ok,d7d71431e5310b3d17d5a88751db5b8273ad34c15239c18dc931ac790029759b,l2-n128-uniform-w1-s29-r1-measure-eas_k1_adaptive,126,2,0.304511,0.147842,413778.155797,0.00241675396825,8256,8256,0.126,0.030506,0.095525,0.124054,0.029439,0.017253,0,0.018006,0.003013,4,10,12,0,0,0,0,5,0,0,0,768,0,0,0,0,0,4928,0.095525,0.00842,0.014452,0.001516,0,0.004106,0.045786,0.147842,0,0,0,0,1
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,29,1,ok,d7d71431e5310b3d17d5a88751db5b8273ad34c15239c18dc931ac790029759b,l2-n128-uniform-w1-s29-r1-measure-accept_id,126,2,0.292507,0.137556,430758.922009,0.00232148412698,7948,7948,0.123619,0.031228,0.098866,0.121799,0.029904,0.017711,0,0.019977,0.003144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098866,0,0,0.003924,0,0.002557,0.032172,0.137556,0,0.000176,0,506,0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,29,1,ok,d7d71431e5310b3d17d5a88751db5b8273ad34c15239c18dc931ac790029759b,l2-n128-uniform-w1-s29-r1-measure-native,126,2,0.160171,0,786659.257918,0.0012711984127,8136,8136,0.121887,0.038218,0,0.119698,0.03718,0.017496,0.007188,0.014931,0.003227,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,29,1,ok,d7d71431e5310b3d17d5a88751db5b8273ad34c15239c18dc931ac790029759b,l2-n128-uniform-w1-s29-r1-measure-eas_k2_adaptive,126,2,0.307905,0.14917,409217.12866,0.00244369047619,8124,8124,0.127003,0.031631,0.094432,0.12507,0.030553,0.017636,0,0.020645,0.003011,4,10,12,0,0,0,0,4,0,0,0,768,0,0,0,0,0,4928,0.094432,0.008701,0.014863,0.00153,0,0.004831,0.048024,0.14917,0,0,0,0,0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,29,1,ok,d7d71431e5310b3d17d5a88751db5b8273ad34c15239c18dc931ac790029759b,l2-n128-uniform-w1-s29-r1-measure-accept_static_degree,126,2,0.315744,0.162074,399057.464275,0.0025059047619,8000,8000,0.122429,0.031139,0.100937,0.120472,0.029964,0.017407,0,0.020346,0.003132,0,382,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4080,0.100937,0,0,0.006157,0,0.002842,0.054365,0.162074,0.01572,0.005642,128,506,0
