condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,baseline,seed,repetition,commit_delta,batch_delta_ms,extra_cost_us,eas_rate,baseline_rate,rate_ratio
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,2,0,-0.009709999999999996,1,294311.3814415652,287784.24404103897,1.0226806628079173
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,2,0,-0.009709999999999996,10,79740.88011148534,79253.85639201221,1.0061451106816073
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,2,0,-0.009709999999999996,100,9618.233973159631,9611.110077111614,1.0007412146974555
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,2,0,-0.009709999999999996,1000,982.0723625523088,981.9980430493601,1.0000756819257175
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,2,-2,0.004935999999999996,0,409077.5630853686,422556.4666230696,0.9681015329254812
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,2,-2,0.004935999999999996,0.1,392503.1890884114,405164.23621718097,0.9687508274496793
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,2,-2,0.004935999999999996,1,287622.26845827507,295646.2569072117,0.972859495895952
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,2,-2,0.004935999999999996,10,78326.29344187841,79838.5487126034,0.9810585826632611
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,2,-2,0.004935999999999996,100,9463.394255460205,9619.653409995353,0.9837562594123416
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,2,-2,0.004935999999999996,1000,966.4612913040518,982.0871589103151,0.9840891233894137
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,2,-2,-0.0067070000000000185,0,409077.5630853686,406677.2531856385,1.0059022477429649
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,2,-2,-0.0067070000000000185,0.1,392503.1890884114,390542.66833628825,1.005019991184254
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,2,-2,-0.0067070000000000185,1,287622.26845827507,287784.24404103897,0.9994371631313465
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,2,-2,-0.0067070000000000185,10,78326.29344187841,79253.85639201221,0.9882963051596404
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,2,-2,-0.0067070000000000185,100,9463.394255460205,9611.110077111614,0.9846307221053282
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,2,-2,-0.0067070000000000185,1000,966.4612913040518,981.9980430493601,0.9841784290149268
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,3,0,0.109568,0,319039.03417262546,441535.14059039555,0.7225677071728078
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,3,0,0.109568,0.1,309023.48578491964,422580.55861125275,0.7312771008691897
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,3,0,0.109568,1,240947.26696957176,304813.1447039926,0.7904753162910947
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,3,0,0.109568,10,75226.75493272579,80492.25485636604,0.9345837691708818
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,3,0,0.109568,100,9549.117934334809,9629.075773795585,0.991696208302943
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,3,0,0.109568,1000,981.3471148114439,982.1852793063664,0.9991466330105107
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,3,0,0.032376000000000016,0,319039.03417262546,347528.6849073257,0.9180221605525958
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,3,0,0.032376000000000016,0.1,309023.48578491964,335677.7493606138,0.9205956795573605
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,3,0,0.032376000000000016,1,240947.26696957176,256849.31506849316,0.9380880260681994
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,3,0,0.032376000000000016,10,75226.75493272579,76709.52659263588,0.9806703062087149
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,3,0,0.032376000000000016,100,9549.117934334809,9572.605936839034,0.9975463314107776
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,3,0,0.032376000000000016,1000,981.3471148114439,981.5946332014569,0.9997478405223084
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,3,-2,0.022853000000000012,0,402308.7330194892,441535.14059039555,0.9111590359071873
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,3,-2,0.022853000000000012,0.1,386267.5650502615,422580.55861125275,0.9140684709198917
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,3,-2,0.022853000000000012,1,284259.5840181926,304813.1447039926,0.9325699660827955
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,3,-2,0.022853000000000012,10,78074.7767470648,80492.25485636604,0.9699663264047566
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,3,-2,0.022853000000000012,100,9459.712343879462,9629.075773795585,0.9824112475698836
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,3,-2,0.022853000000000012,1000,966.422876364251,982.1852793063664,0.9839517010952893
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,3,-2,-0.05433899999999997,0,402308.7330194892,347528.6849073257,1.1576274146313175
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,3,-2,-0.05433899999999997,0.1,386267.5650502615,335677.7493606138,1.150709469978303
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,3,-2,-0.05433899999999997,1,284259.5840181926,256849.31506849316,1.1067173137774966
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,3,-2,-0.05433899999999997,10,78074.7767470648,76709.52659263588,1.0177976610607837
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,3,-2,-0.05433899999999997,100,9459.712343879462,9572.605936839034,0.9882065976909052
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,3,-2,-0.05433899999999997,1000,966.422876364251,981.5946332014569,0.9845437654974504
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,29,1,0,0.01200399999999996,0,413778.1557973276,430758.92200870404,0.9605794207762611
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,29,1,0,0.01200399999999996,0.1,397086.7697621577,412699.34852459986,0.9621696064744053
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,29,1,0,0.01200399999999996,1,291322.07042133034,299638.2937739443,0.9722457925925584
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,29,1,0,0.01200399999999996,10,79519.80137720723,80126.82932413019,0.9924241611449843
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,29,1,0,0.01200399999999996,100,9615.009671097227,9623.825291825317,0.9990839795548265
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,29,1,0,0.01200399999999996,1000,982.038737515628,982.1306243551699,0.9999064413253561
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,29,1,0,-0.011233000000000049,0,413778.1557973276,399057.46427485556,1.0368886509846937
