condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,seed,repetition,baseline,status,commit_delta,batch_delta_ms,selector_delta_ms,batch_speedup,selector_speedup,rate_ratio,baseline_commits,commits,baseline_batch_ms,batch_ms,quality_cost
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,11,3,accept_id,ok,0,0.109568,0.017342999999999997,0.7225677071728077,0.8849804022999941,0.7225677071743034,126,126,0.285368,0.394936,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,11,3,accept_static_degree,ok,0,0.032376000000000016,-0.059065000000000006,0.9180221605525958,1.3917218784610998,0.9180221605545341,126,126,0.36256,0.394936,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,3,accept_id,ok,0,-0.12047200000000002,-0.13344,1.7305938288375706,,1.7305938288398734,126,126,0.285368,0.164896,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,3,accept_static_degree,ok,0,-0.197664,-0.209848,2.1987191927032796,,2.198719192706297,126,126,0.36256,0.164896,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,3,native,ok,0,0.12047200000000002,0.13344,0.5778363376412211,0.0,0.5778363376404522,126,126,0.164896,0.285368,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,3,accept_static_degree,ok,0,-0.07719199999999998,-0.076408,1.2704998458131254,1.5726019184652278,1.270499845813178,126,126,0.36256,0.285368,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,11,3,native,ok,0,0.197664,0.209848,0.4548102383053839,0.0,0.45481023830475986,126,126,0.164896,0.36256,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,11,3,accept_id,ok,0,0.07719199999999998,0.076408,0.7870917917034422,0.6358888338225763,0.7870917917034096,126,126,0.285368,0.36256,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,3,native,ok,-2,0.14332500000000004,0.150468,0.5349927487095297,0.0,0.5265008003164457,126,124,0.164896,0.308221,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,3,accept_id,ok,-2,0.022853000000000012,0.017027999999999988,0.9258551493895614,0.8868330807879417,0.9111590359068955,126,124,0.285368,0.308221,baseline_dominates
