condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,baseline,metric,count,median,minimum,maximum,q1,q3,iqr
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,native,selector_delta_ms,5,0.135021,0.134159,0.137244,0.134499,0.137115,0.0026159999999999795
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,native,batch_speedup,5,0.5639403009808288,0.55143170297301,0.5685420575386219,0.5516332875033019,0.5670328762597059,0.015399588756404015
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,native,selector_speedup,5,0.0,0.0,0.0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,native,rate_ratio,5,0.5639403009808028,0.5514317029729386,0.5685420575381843,0.5516332875030457,0.5670328762596899,0.015399588756644156
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,accept_static_degree,commit_delta,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,accept_static_degree,batch_delta_ms,5,-0.01826899999999998,-0.027868000000000004,-0.01647900000000002,-0.023237000000000008,-0.017635999999999985,0.005601000000000023
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,accept_static_degree,selector_delta_ms,5,-0.022031999999999996,-0.026258000000000004,-0.018896000000000024,-0.024517999999999984,-0.019732,0.004785999999999985
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,accept_static_degree,batch_speedup,5,1.0628786001431796,1.0562133507987352,1.0948907843437696,1.0604055350047952,1.0794408338945736,0.019035298889778396
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,accept_static_degree,selector_speedup,5,1.1642230487704888,1.13781132625898,1.1911368632532138,1.1467074104640183,1.178240134926866,0.03153272446284783
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,accept_static_degree,rate_ratio,5,1.0628786001445603,1.056213350798575,1.0948907843451012,1.0604055350064294,1.0794408338949244,0.019035298888494978
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,native,commit_delta,5,0,-2,0,-2.0,0.0,2.0
