condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,baseline,seed,metric,count,median,minimum,maximum,q1,q3,iqr
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,accept_static_degree,47,selector_speedup,3,1.1843816639191784,1.1166517564683258,1.2004581211006962,1.1505167101937521,1.1924198925099372,0.04190318231618506
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,accept_static_degree,47,rate_ratio,3,1.0894307584315577,1.0729088557436983,1.097767624680542,1.0811698070876279,1.09359919155605,0.012429384468422011
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,native,71,commit_delta,3,-2,-2,-2,-2.0,-2.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,native,71,batch_delta_ms,3,0.148262,0.140581,0.151219,0.1444215,0.1497405,0.00531899999999999
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,native,71,selector_delta_ms,3,0.150357,0.147893,0.155132,0.149125,0.1527445,0.0036194999999999977
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,native,71,batch_speedup,3,0.5352142700398131,0.52853824689395,0.5514770396036129,0.5318762584668816,0.543345654821713,0.011469396354831463
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,native,71,selector_speedup,3,0.0,0.0,0.0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,native,71,rate_ratio,3,0.5267188054356693,0.52014875091123,0.5427234358003774,0.5234337781734497,0.5347211206180233,0.011287342444573634
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,71,commit_delta,3,-2,-2,-2,-2.0,-2.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,71,batch_delta_ms,3,0.01583000000000001,0.007342000000000015,0.020633000000000012,0.011586000000000013,0.01823150000000001,0.006645499999999999
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,71,selector_delta_ms,3,0.016679,0.008090999999999987,0.01707699999999998,0.012384999999999993,0.01687799999999999,0.004492999999999997
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,71,batch_speedup,3,0.9506461519275436,0.9353177215586695,0.9765753866082167,0.9429819367431066,0.9636107692678801,0.020628832524773544
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,71,selector_speedup,3,0.8924851094551737,0.8864236450580952,0.9452915283346744,0.8894543772566345,0.9188883188949241,0.029433941638289607
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,71,rate_ratio,3,0.9355565304676848,0.9204714085166006,0.9610741899949651,0.9280139694921428,0.948315360231325,0.020301390739182246
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,71,commit_delta,3,-2,-2,-2,-2.0,-2.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,71,batch_delta_ms,3,-0.010597000000000023,-0.011121999999999965,-0.008508999999999989,-0.010859499999999994,-0.009553000000000006,0.0013064999999999882
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,71,selector_delta_ms,3,-0.011227000000000015,-0.011451000000000017,-0.008768999999999999,-0.011339000000000016,-0.009998000000000007,0.0013410000000000089
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,71,batch_speedup,3,1.0330387067608224,1.0266748173923947,1.0354846840293397,1.0298567620766086,1.034261695395081,0.004404933318472359
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,71,selector_speedup,3,1.0746689545548263,1.0565260552303843,1.0774275996835552,1.0655975048926054,1.0760482771191908,0.010450772226585414
