condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,seed,repetition,baseline,status,commit_delta,batch_delta_ms,selector_delta_ms,batch_speedup,selector_speedup,rate_ratio,baseline_commits,commits,baseline_batch_ms,batch_ms,quality_cost
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,11,3,accept_id,ok,0,0.02272300000000005,0.015319,0.9275104796054435,0.8984804204192264,0.9275104796062188,126,126,0.290743,0.313466,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,11,3,accept_static_degree,ok,0,-0.00045999999999996044,-0.0046599999999999975,1.0014674637759755,1.0308819923523993,1.0014674637773997,126,126,0.313926,0.313466,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,3,accept_id,ok,0,-0.11762699999999998,-0.135578,1.6794692576076156,,1.6794692576081998,126,126,0.290743,0.173116,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,3,accept_static_degree,ok,0,-0.14081,-0.155557,1.8133852445758913,,1.8133852445775849,126,126,0.313926,0.173116,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,3,native,ok,0,0.11762699999999998,0.135578,0.5954262011467172,0.0,0.5954262011465101,126,126,0.173116,0.290743,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,3,accept_static_degree,ok,0,-0.02318300000000001,-0.019978999999999997,1.0797370873933336,1.1473616663470474,1.0797370873939665,126,126,0.313926,0.290743,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,11,3,native,ok,0,0.14081,0.155557,0.5514548014500232,0.0,0.5514548014495082,126,126,0.173116,0.313926,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,11,3,accept_id,ok,0,0.02318300000000001,0.019978999999999997,0.9261513859954257,0.8715647640414768,0.9261513859948829,126,126,0.290743,0.313926,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,3,native,ok,-2,0.13237100000000002,0.151866,0.5666885988601806,0.0,0.5576935417348118,126,124,0.173116,0.305487,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,3,accept_id,ok,-2,0.014744000000000035,0.016287999999999997,0.9517360804224074,0.892747553764503,0.936629158510252,126,124,0.290743,0.305487,baseline_dominates
