condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,baseline,seed,repetition,commit_delta,batch_delta_ms,extra_cost_us,eas_rate,baseline_rate,rate_ratio
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,2,0,0.0014939999999999953,1,278942.49799648445,279868.1510044157,0.9966925389523275
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,2,0,0.0014939999999999953,10,78568.01683101516,78641.27843256698,0.9990684078004323
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,2,0,0.0014939999999999953,100,9600.946561893415,9602.039656118952,0.9998861602050518
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,2,0,0.0014939999999999953,1000,981.8918415588778,981.9032733008062,0.9999883575681646
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,2,-2,0.016618999999999995,0,387349.9019130087,415149.66804500745,0.9330367617468867
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,2,-2,0.016618999999999995,0.1,372457.3776597662,398349.694124342,0.9350010384180345
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,2,-2,0.016618999999999995,1,276709.1251528595,292001.2514339347,0.9476299289609891
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,2,-2,0.016618999999999995,10,77493.9942154483,79570.32027053909,0.9739057723026465
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,2,-2,0.016618999999999995,100,9451.130187489081,9615.74784761787,0.9828804100588423
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,2,-2,0.016618999999999995,1000,966.3332307877134,982.0464374687192,0.9839995278415677
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,2,-2,-0.0020879999999999788,0,387349.9019130087,391046.8883840453,0.9905459253586855
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,2,-2,-0.0020879999999999788,0.1,372457.3776597662,376105.93053383165,0.9902991349567745
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,2,-2,-0.0020879999999999788,1,276709.1251528595,279868.1510044157,0.9887124496295172
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,2,-2,-0.0020879999999999788,10,77493.9942154483,78641.27843256698,0.9854111703168401
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,2,-2,-0.0020879999999999788,100,9451.130187489081,9602.039656118952,0.9842836028558055
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,2,-2,-0.0020879999999999788,1000,966.3332307877134,981.9032733008062,0.9841429976490944
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,3,0,0.02272300000000005,0,401957.4690716058,433372.42857093725,0.9275104796054435
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,3,0,0.02272300000000005,0.1,386187.95706570713,415097.6962077861,0.9303543734253645
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,3,0,0.02272300000000005,1,285412.6931632334,300900.5523674426,0.9485283124861257
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,3,0,0.02272300000000005,10,79072.91401259895,80216.81459029262,0.9857398902769183
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,3,0,0.02272300000000005,100,9608.443717320806,9625.122118736881,0.99826720105882
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,3,0,0.02272300000000005,1000,981.9702010075855,982.1441286687381,0.9998229102470039
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,3,0,-0.00045999999999996044,0,401957.4690716058,401368.47537317715,1.0014674637759755
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,3,0,-0.00045999999999996044,0.1,386187.95706570713,385644.24012781354,1.0014098925416683
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,3,0,-0.00045999999999996044,1,285412.6931632334,285115.6075904111,1.0010419828480561
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,3,0,-0.00045999999999996044,10,79072.91401259895,79050.09391904016,1.000288678892427
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,3,0,-0.00045999999999996044,100,9608.443717320806,9608.106679876033,1.0000350784453174
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,3,0,-0.00045999999999996044,1000,981.9702010075855,981.9666806859295,1.000003584970575
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,3,-2,0.014744000000000035,0,405909.2530942397,433372.42857093725,0.9366291585109406
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,3,-2,0.014744000000000035,0.1,389585.49987904,415097.6962077861,0.9385392967443129
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,3,-2,0.014744000000000035,1,286052.4075693158,300900.5523674426,0.9506543119269683
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,3,-2,0.014744000000000035,10,78209.40821337544,80216.81459029262,0.9749752419468412
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,3,-2,0.014744000000000035,100,9461.685780925196,9625.122118736881,0.9830198167051274
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,3,-2,0.014744000000000035,1000,966.4434694051705,982.1441286687381,0.9840138949006911
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,3,-2,-0.008438999999999974,0,405909.2530942397,401368.47537317715,1.011313239578272
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,3,-2,-0.008438999999999974,0.1,389585.49987904,385644.24012781354,1.0102199367736446
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,3,-2,-0.008438999999999974,1,286052.4075693158,285115.6075904111,1.0032856846625193
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,3,-2,-0.008438999999999974,10,78209.40821337544,79050.09391904016,0.9893651523485132
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,3,-2,-0.008438999999999974,100,9461.685780925196,9608.106679876033,0.9847606917960734
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,3,-2,-0.008438999999999974,1000,966.4434694051705,981.9666806859295,0.9841917128288755
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,29,1,0,0.018419999999999992,0,396614.29888979474,421025.89977578697,0.9420187667813491
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,29,1,0,0.018419999999999992,0.1,381253.2338443942,403756.8614633302,0.944264408195129
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,29,1,0,0.018419999999999992,1,282708.34595424164,294896.1895199511,0.9586707322819276
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,29,1,0,0.018419999999999992,10,78863.90905864659,79783.7480505221,0.9884708475804742
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,29,1,0,0.018419999999999992,100,9605.350454641819,9618.857357612855,0.9985957892430596
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,29,1,0,0.018419999999999992,1000,981.9378838719579,982.0788612599188,0.9998564500331674
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,29,1,0,-0.0070230000000000015,0,396614.29888979474,388036.1674345266,1.0221065255643098
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,29,1,0,-0.0070230000000000015,0.1,381253.2338443942,373320.0597312096,1.0212503290578505
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,29,1,0,-0.0070230000000000015,1,282708.34595424164,278322.6422096167,1.015757624711402
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,29,1,0,-0.0070230000000000015,10,78863.90905864659,78518.76224518791,1.0043957240739596
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,29,1,0,-0.0070230000000000015,100,9605.350454641819,9600.210656050967,1.0005353839384359
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,29,1,0,-0.0070230000000000015,1000,981.9378838719579,981.8841440298731,1.0000547313472892
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,29,1,0,0.024949999999999972,0,388626.2063605156,421025.89977578697,0.9230458424706759
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,29,1,0,0.024949999999999972,0.1,373866.1618484418,403756.8614633302,0.9259685655704872
