condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,baseline,metric,count,median,minimum,maximum,q1,q3,iqr
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,selector_speedup,5,1.055091121321917,0.98312908042998,1.0778800987599981,1.0308819923523993,1.05750085489938,0.02661886254698076
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,rate_ratio,5,1.03582378776042,0.996030242281273,1.0405565261983658,1.0014674637773997,1.0386994235059788,0.03723195972857907
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,native,commit_delta,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,native,batch_delta_ms,5,0.12820100000000004,0.125308,0.13617600000000002,0.12692299999999998,0.133239,0.006316000000000016
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,native,selector_delta_ms,5,0.134313,0.13184,0.138453,0.132716,0.135578,0.0028620000000000034
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,native,batch_speedup,5,0.5734153858563589,0.5540987900915207,0.5806149633934383,0.5647050367703511,0.5775983921187459,0.012893355348394753
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,native,selector_speedup,5,0.0,0.0,0.0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,native,rate_ratio,5,0.5734153858559781,0.5540987900914754,0.5806149633930516,0.5647050367705959,0.5775983921188155,0.01289335534821956
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,accept_static_degree,commit_delta,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,accept_static_degree,batch_delta_ms,5,-0.026427000000000034,-0.027465000000000017,-0.02318300000000001,-0.02675500000000003,-0.025442999999999993,0.0013120000000000354
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,accept_static_degree,selector_delta_ms,5,-0.024382999999999988,-0.025448,-0.021148,-0.024886999999999992,-0.021566000000000002,0.0033209999999999906
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,accept_static_degree,batch_speedup,5,1.0866700555892628,1.0797370873933336,1.0923090884036393,1.0850171584761534,1.089430758431661,0.004413599955507497
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,accept_static_degree,selector_speedup,5,1.183802445595256,1.1563900433348617,1.1887666868932039,1.1584348988752489,1.1843816639191784,0.025946765043929565
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,accept_static_degree,rate_ratio,5,1.0866700555890774,1.0797370873939665,1.0923090884024342,1.0850171584753787,1.0894307584315577,0.00441359995617896
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,native,commit_delta,5,0,-2,0,-2.0,0.0,2.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,native,batch_delta_ms,5,0.14594400000000002,0.13890000000000002,0.159691,0.143951,0.148262,0.004311000000000009
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,native,selector_delta_ms,5,0.151866,0.150357,0.163753,0.151482,0.153881,0.0023989999999999845
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,native,batch_speedup,5,0.5424766526535564,0.5185912045243521,0.5564992496567578,0.5352142700398131,0.5476128000399845,0.012398530000171326
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,native,selector_speedup,5,0.0,0.0,0.0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,native,rate_ratio,5,0.5389205333727456,0.5185912045240378,0.5564992496572115,0.5267188054356693,0.5424766526541609,0.015757847218491605
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,commit_delta,5,0,-2,0,-2.0,0.0,2.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,batch_delta_ms,5,0.01700400000000002,0.015293999999999974,0.023517999999999983,0.01583000000000001,0.020953,0.005122999999999989
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,selector_delta_ms,5,0.018652999999999975,0.016287999999999997,0.03151100000000001,0.016679,0.020102999999999982,0.0034239999999999826
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,batch_speedup,5,0.9459395873935339,0.9271184549781833,0.9517129677865445,0.9343139375585839,0.9506461519275436,0.016332214368959708
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,selector_speedup,5,0.8760540357358816,0.8075699376499972,0.892747553764503,0.8705779345775742,0.8924851094551737,0.021907174877599522
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,rate_ratio,5,0.9355565304676848,0.927118454978778,0.9459395873932845,0.9343139375602473,0.9366064127419392,0.0022924751816919553
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,commit_delta,5,0,-2,0,-2.0,0.0,2.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,batch_delta_ms,5,-0.008438999999999974,-0.011283000000000043,-0.002460999999999991,-0.010597000000000023,-0.006552000000000002,0.004045000000000021
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,selector_delta_ms,5,-0.003694000000000003,-0.011227000000000015,0.007128000000000023,-0.006234000000000017,-0.0033100000000000074,0.00292400000000001
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,batch_speedup,5,1.0276247434424377,1.0075676506765068,1.03686074394475,1.0205400220071665,1.0330387067608224,0.012498684753655898
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,selector_speedup,5,1.0243043209144904,0.9564710264850108,1.0746689545548263,1.0218356455368864,1.0414238536011642,0.019588208064277746
