condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,seed,repetition,status,trace_sha256,id,commit_count,abort_count,batch_ms,selector_ms,effective_commits_per_second,ms_per_commit,peak_rss_kib,runner_peak_rss_kib,read_wall_ms,commit_wall_ms,extract_ms,read_worker_ms,commit_worker_ms,reservation_worker_ms,dependency_worker_ms,apply_worker_ms,sync_wait_ms,selector_initial_core_size,selector_subsets,selector_incidences,selector_profiles,selector_heavy_subsets,selector_profile_links,selector_B,selector_degree_queries,selector_light_scans,selector_heavy_updates,selector_tree_updates,selector_trim_key_visits,selector_switches,selector_switch_round,selector_switch_remaining,selector_switch_queries,selector_graph_bytes,selector_index_payload_bytes,selector_normalize_ms,selector_build_ms,selector_trim_ms,selector_select_ms,selector_switch_ms,selector_certificate_ms,selector_kernel_ms,selector_total_ms,selector_count_ms,selector_sort_ms,selector_initial_degree_evaluations,selector_acceptance_key_visits,selector_degree_requeries
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,11,3,ok,0b32ab31bed4d253a439e316f733fb32ee3f375b9a0d5e135f580fd12721edcc,l2-n128-uniform-w1-s11-r3-measure-eas_k1_adaptive,126,2,0.313466,0.150897,401957.469072,0.00248782539683,7984,7984,0.132006,0.03046,0.097896,0.130271,0.029434,0.017413,0,0.019692,0.002761,4,10,12,0,0,0,0,5,0,0,0,768,0,0,0,0,0,4928,0.097896,0.00891,0.014607,0.001332,0,0.004157,0.046618,0.150897,0,0,0,0,1
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,3,ok,0b32ab31bed4d253a439e316f733fb32ee3f375b9a0d5e135f580fd12721edcc,l2-n128-uniform-w1-s11-r3-measure-native,126,2,0.173116,0,727835.67088,0.00137393650794,8108,8108,0.135385,0.037647,0,0.133593,0.036605,0.017481,0.006935,0.01483,0.002834,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,3,ok,0b32ab31bed4d253a439e316f733fb32ee3f375b9a0d5e135f580fd12721edcc,l2-n128-uniform-w1-s11-r3-measure-accept_id,126,2,0.290743,0.135578,433372.428571,0.00230748412698,8204,8204,0.124283,0.030778,0.097772,0.122625,0.029479,0.017205,0,0.020001,0.002957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097772,0,0,0.003858,0,0.002712,0.031191,0.135578,0,0.000182,0,506,0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,11,3,ok,0b32ab31bed4d253a439e316f733fb32ee3f375b9a0d5e135f580fd12721edcc,l2-n128-uniform-w1-s11-r3-measure-accept_static_degree,126,2,0.313926,0.155557,401368.475373,0.00249147619048,8060,8060,0.126197,0.032061,0.094545,0.12438,0.031029,0.018108,0,0.020531,0.002849,0,382,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4080,0.094545,0,0,0.006226,0,0.002595,0.054573,0.155557,0.015951,0.005234,128,506,0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,3,ok,0b32ab31bed4d253a439e316f733fb32ee3f375b9a0d5e135f580fd12721edcc,l2-n128-uniform-w1-s11-r3-measure-eas_k2_adaptive,124,4,0.305487,0.151866,405909.253094,0.00246360483871,8008,8008,0.122268,0.031255,0.099105,0.120138,0.030004,0.0173,0,0.020413,0.003381,4,10,12,0,0,0,0,6,0,0,0,768,0,0,0,0,0,4928,0.099105,0.008816,0.014643,0.001761,0,0.003948,0.04624,0.151866,0,0,0,0,2
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,29,1,ok,d7d71431e5310b3d17d5a88751db5b8273ad34c15239c18dc931ac790029759b,l2-n128-uniform-w1-s29-r1-measure-eas_k1_adaptive,126,2,0.317689,0.150071,396614.29889,0.00252134126984,8204,8204,0.137667,0.029831,0.097269,0.135967,0.028839,0.0174,0,0.019241,0.002692,4,10,12,0,0,0,0,5,0,0,0,768,0,0,0,0,0,4928,0.097269,0.008663,0.014859,0.001151,0,0.004118,0.046289,0.150071,0,0,0,0,1
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,29,1,ok,d7d71431e5310b3d17d5a88751db5b8273ad34c15239c18dc931ac790029759b,l2-n128-uniform-w1-s29-r1-measure-accept_id,126,2,0.299269,0.134313,421025.899776,0.00237515079365,8108,8108,0.134756,0.030066,0.096147,0.133056,0.028727,0.017738,0,0.018804,0.003039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096147,0,0,0.003764,0,0.002683,0.031459,0.134313,0,0.00018,0,506,0
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,29,1,ok,d7d71431e5310b3d17d5a88751db5b8273ad34c15239c18dc931ac790029759b,l2-n128-uniform-w1-s29-r1-measure-native,126,2,0.173961,0,724300.274199,0.00138064285714,8316,8316,0.135129,0.038745,0,0.133205,0.03705,0.017759,0.007205,0.014781,0.003619,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,29,1,ok,d7d71431e5310b3d17d5a88751db5b8273ad34c15239c18dc931ac790029759b,l2-n128-uniform-w1-s29-r1-measure-eas_k2_adaptive,126,2,0.324219,0.151587,388626.206361,0.00257316666667,8084,8084,0.141601,0.030916,0.099802,0.139702,0.029582,0.017428,0,0.019955,0.003233,4,10,12,0,0,0,0,4,0,0,0,768,0,0,0,0,0,4928,0.099802,0.008754,0.014436,0.001112,0,0.004027,0.045293,0.151587,0,0,0,0,0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,29,1,ok,d7d71431e5310b3d17d5a88751db5b8273ad34c15239c18dc931ac790029759b,l2-n128-uniform-w1-s29-r1-measure-accept_static_degree,126,2,0.324712,0.154897,388036.167435,0.00257707936508,8124,8124,0.137467,0.032173,0.093699,0.135575,0.030802,0.017618,0,0.021243,0.003263,0,382,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4080,0.093699,0,0,0.00638,0,0.002894,0.054628,0.154897,0.01575,0.00515,128,506,0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,29,2,ok,d7d71431e5310b3d17d5a88751db5b8273ad34c15239c18dc931ac790029759b,l2-n128-uniform-w1-s29-r2-measure-accept_id,126,2,0.30698,0.135226,410450.192195,0.00243634920635,7936,7936,0.139544,0.032116,0.098683,0.137628,0.031128,0.017542,0,0.0213,0.002904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098683,0,0,0.003793,0,0.002521,0.030073,0.135226,0,0.000178,0,506,0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,29,2,ok,d7d71431e5310b3d17d5a88751db5b8273ad34c15239c18dc931ac790029759b,l2-n128-uniform-w1-s29-r2-measure-eas_k1_adaptive,126,2,0.311935,0.148209,403930.305993,0.00247567460317,8144,8144,0.134635,0.028911,0.094751,0.132623,0.027586,0.01782,0,0.01788,0.003337,4,10,12,0,0,0,0,5,0,0,0,768,0,0,0,0,0,4928,0.094751,0.008783,0.014259,0.001203,0,0.004292,0.046864,0.148209,0,0,0,0,1
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,29,2,ok,d7d71431e5310b3d17d5a88751db5b8273ad34c15239c18dc931ac790029759b,l2-n128-uniform-w1-s29-r2-measure-native,126,2,0.174086,0,723780.200591,0.00138163492063,8112,8112,0.135514,0.038513,0,0.133768,0.03716,0.017587,0.007203,0.014827,0.003099,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
