condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,seed,repetition,baseline,status,commit_delta,batch_delta_ms,selector_delta_ms,batch_speedup,selector_speedup,rate_ratio,baseline_commits,commits,baseline_batch_ms,batch_ms,quality_cost
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,2,accept_id,ok,0,-0.122089,-0.13312,1.7269582303730389,,1.7269582303734121,126,126,0.290034,0.167945,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,2,accept_static_degree,ok,0,-0.153071,-0.164131,1.9114352913156092,,1.911435291312943,126,126,0.321016,0.167945,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,11,3,native,ok,0,0.147384,0.155165,0.5267477555004688,0.0,0.5267477555001073,126,126,0.164044,0.311428,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,11,3,accept_id,ok,0,0.01568799999999998,0.015205999999999997,0.9496255956432949,0.9020010956079013,0.9496255956413998,126,126,0.29574,0.311428,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,11,3,accept_static_degree,ok,0,0.0046720000000000095,-0.0006690000000000029,0.9849981376112616,1.0043115393291013,0.9849981376106296,126,126,0.306756,0.311428,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,3,accept_id,ok,0,-0.131696,-0.139959,1.8028090024627539,,1.8028090024603938,126,126,0.29574,0.164044,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,11,3,accept_static_degree,ok,0,-0.14271199999999998,-0.155834,1.8699617175879641,,1.8699617175880474,126,126,0.306756,0.164044,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,3,native,ok,0,0.131696,0.139959,0.5546899303442212,0.0,0.5546899303449475,126,126,0.164044,0.29574,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,11,3,accept_static_degree,ok,0,-0.01101599999999997,-0.015875,1.037248934875228,1.1134260747790425,1.0372489348766325,126,126,0.306756,0.29574,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,11,3,native,ok,0,0.14271199999999998,0.155834,0.5347703060412836,0.0,0.5347703060412599,126,126,0.164044,0.306756,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,11,3,accept_id,ok,0,0.01101599999999997,0.015875,0.9640887219809883,0.8981287780587035,0.964088721979683,126,126,0.29574,0.306756,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,3,native,ok,-2,0.143827,0.151586,0.5328335569118234,0.0,0.5243758814052784,126,124,0.164044,0.307871,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,3,accept_id,ok,-2,0.012131000000000003,0.011626999999999998,0.9605971332148855,0.9232976660113731,0.9453495596705397,126,124,0.29574,0.307871,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,3,accept_static_degree,ok,-2,0.0011150000000000326,-0.004248000000000002,0.9963783532713376,1.0280236961196945,0.9805628238543607,126,124,0.306756,0.307871,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,29,1,native,ok,0,0.138615,0.15015,0.5474889332863243,0.0,0.5474889332855484,126,126,0.167709,0.306324,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,29,1,accept_id,ok,0,0.013830000000000009,0.016485,0.9548517256238492,0.8902097902097902,0.9548517256240111,126,126,0.292494,0.306324,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,29,1,accept_static_degree,ok,0,-0.01658200000000004,-0.019413999999999987,1.0541322260090624,1.1292973692973691,1.05413222600784,126,126,0.322906,0.306324,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,29,1,native,ok,0,0.12478499999999998,0.133665,0.5733758641202897,0.0,0.5733758641193798,126,126,0.167709,0.292494,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,29,1,accept_static_degree,ok,0,-0.03041200000000005,-0.035898999999999986,1.1039747823886987,1.2685744211274455,1.1039747823872312,126,126,0.322906,0.292494,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,29,1,accept_id,ok,0,-0.12478499999999998,-0.133665,1.7440566695883941,,1.7440566695911615,126,126,0.292494,0.167709,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,29,1,accept_static_degree,ok,0,-0.15519700000000003,-0.169564,1.9253945822824061,,1.925394582282902,126,126,0.322906,0.167709,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,29,1,native,ok,0,0.13051600000000002,0.147202,0.5623572805767457,0.0,0.562357280576793,126,126,0.167709,0.298225,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,29,1,accept_id,ok,0,0.005731000000000042,0.013536999999999993,0.9807829658814652,0.9080379342671975,0.9807829658831041,126,126,0.292494,0.298225,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,29,1,accept_static_degree,ok,0,-0.02468100000000001,-0.022361999999999993,1.0827596613295332,1.1519136968247714,1.082759661329903,126,126,0.322906,0.298225,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,29,1,native,ok,0,0.15519700000000003,0.169564,0.519374059323766,0.0,0.5193740593236322,126,126,0.167709,0.322906,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,29,1,accept_id,ok,0,0.03041200000000005,0.035898999999999986,0.9058177921748123,0.7882864287230781,0.9058177921760163,126,126,0.292494,0.322906,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,29,2,native,ok,0,0.11960400000000002,0.135474,0.5832569678428694,0.0,0.5832569678428705,126,126,0.167393,0.286997,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,29,2,accept_static_degree,ok,0,-0.022982000000000002,-0.020440999999999987,1.0800774920992207,1.1508850406720108,1.080077492100516,126,126,0.309979,0.286997,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,29,2,native,ok,0,0.140653,0.15002,0.5434026087012979,0.0,0.5434026087017535,126,126,0.167393,0.308046,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,29,2,accept_id,ok,0,0.021048999999999984,0.014545999999999976,0.9316692961440824,0.903039594720704,0.9316692961448618,126,126,0.286997,0.308046,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,29,2,accept_static_degree,ok,0,-0.001933000000000018,-0.005895000000000011,1.0062750368451465,1.0392947606985736,1.0062750368471953,126,126,0.309979,0.308046,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,29,2,accept_id,ok,0,-0.11960400000000002,-0.135474,1.7145101647022278,,1.7145101647022245,126,126,0.286997,0.167393,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,29,2,accept_static_degree,ok,0,-0.14258600000000002,-0.155915,1.8518038388702038,,1.8518038388724214,126,126,0.309979,0.167393,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,29,2,native,ok,0,0.14258600000000002,0.155915,0.5400140009484513,0.0,0.5400140009478046,126,126,0.167393,0.309979,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,29,2,accept_id,ok,0,0.022982000000000002,0.020440999999999987,0.9258594937076382,0.8688965141262869,0.9258594937065276,126,126,0.286997,0.309979,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,29,2,native,ok,0,0.13767300000000002,0.149782,0.548710770784027,0.0,0.5487107707841579,126,126,0.167393,0.305066,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,29,2,accept_id,ok,0,0.018069,0.014307999999999987,0.9407701939908085,0.9044745029442791,0.940770193991031,126,126,0.286997,0.305066,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,29,2,accept_static_degree,ok,0,-0.004913000000000001,-0.0061329999999999996,1.0161047117672897,1.0409461751078233,1.0161047117687487,126,126,0.309979,0.305066,variant_dominates
