condition,mode,commit_count_count,commit_count_maximum,commit_count_median,commit_count_minimum,complete,complete_seeds,expected_seeds,fvs_size_count,fvs_size_maximum,fvs_size_median,fvs_size_minimum,peak_rss_kib_count,peak_rss_kib_maximum,peak_rss_kib_median,peak_rss_kib_minimum,total_ms_count,total_ms_maximum,total_ms_median,total_ms_minimum,validator_commits_per_second_count,validator_commits_per_second_maximum,validator_commits_per_second_median,validator_commits_per_second_minimum
main-l1-n128-zipf-k1,paper,5,97,93,87,True,5,5,5,41,35,31,5,2032,2012,1980,5,0.143837,0.136427,0.122577,5,791339.3214061365,681683.2445190469,604851.3247634475
main-l1-n128-zipf-k1,profile,5,97,93,87,True,5,5,5,41,35,31,5,2040,2016,1984,5,0.166189,0.157444,0.156502,5,619800.3859375599,591351.0145167137,523500.35200885736
main-l1-n2048-uniform-k1,accept_id,5,1823,1808,1792,True,5,5,5,256,240,225,5,4572,4460,4312,5,1.162051,1.151022,1.012248,5,1800942.061629166,1561482.5101867733,1552427.5612688255
main-l1-n2048-uniform-k1,accept_static_degree,5,1823,1808,1792,True,5,5,5,256,240,225,5,4560,4448,4432,5,1.321873,1.304543,1.149956,5,1585278.0454208683,1382859.7447535268,1355652.1693082466
main-l1-n2048-uniform-k1,adaptive,5,1823,1808,1792,True,5,5,5,256,240,225,5,4460,4444,4360,5,1.879712,1.845843,1.600833,5,1138782.121557964,977882.4410065915,953337.5325581791
main-l1-n2048-uniform-k1,graph,5,1823,1808,1792,True,5,5,5,256,240,225,5,4456,4440,4336,5,1.621123,1.599899,1.384393,5,1316822.6074532305,1128376.548241218,1112808.8368371802
main-l1-n2048-uniform-k1,lazy,5,1823,1808,1792,True,5,5,5,256,240,225,5,4460,4460,4436,5,1.562294,1.524751,1.343248,5,1357158.1718342407,1183144.0018730927,1148161.5319755299
main-l1-n2048-uniform-k1,paper,5,1823,1808,1792,True,5,5,5,256,240,225,5,4692,4684,4592,5,2.175053,2.088134,1.740267,5,1047540.4061560668,863929.2305953545,823887.9696264872
main-l1-n2048-uniform-k1,profile,5,1823,1808,1792,True,5,5,5,256,240,225,5,4512,4444,4376,5,1.890166,1.858716,1.594705,5,1143158.138966141,972714.4975348574,948064.8789577212
main-l1-n2048-zipf-k1,accept_id,5,931,903,886,True,5,5,5,1162,1145,1117,5,4248,4188,4180,5,1.108107,1.10127,1.091119,5,840171.571878889,824502.6197027069,801413.2370672617
main-l1-n2048-zipf-k1,accept_static_degree,5,931,903,886,True,5,5,5,1162,1145,1117,5,4196,4168,4120,5,1.322057,1.313011,1.305518,5,709057.2737014389,685598.7068530261,670924.1734660456
main-l1-n2048-zipf-k1,adaptive,5,931,903,886,True,5,5,5,1162,1145,1117,5,4512,4440,4408,5,2.833938,2.812764,2.772173,5,335837.6262953286,321011.6250046844,312992.02734851645
main-l1-n2048-zipf-k1,graph,5,931,903,886,True,5,5,5,1162,1145,1117,5,4720,4700,4548,5,9.224266,8.665977,8.480685,5,109778.86809850857,102782.42571159737,96051.00286570226
main-l1-n2048-zipf-k1,lazy,5,931,903,886,True,5,5,5,1162,1145,1117,5,4508,4420,4296,5,6.725524,6.004327,5.997667,5,155177.37390546614,147890.83822092824,131736.94718805552
main-l1-n2048-zipf-k1,paper,5,931,903,886,True,5,5,5,1162,1145,1117,5,5272,5196,5144,5,21.046941,19.675763,16.800361,5,53748.845039698856,45080.84387883713,43158.23171664351
main-l1-n2048-zipf-k1,profile,5,931,903,886,True,5,5,5,1162,1145,1117,5,4520,4440,4300,5,2.835555,2.824303,2.774785,5,335521.49085424637,318772.6370934149,312813.54091174394
main-l1-n40-uniform-k1,accept_id,5,40,40,40,True,5,5,5,0,0,0,5,2020,2016,1984,5,0.036901,0.035532,0.034468,5,1160496.6925844261,1125745.8065968703,1083981.463916967
main-l1-n40-uniform-k1,accept_static_degree,5,40,40,40,True,5,5,5,0,0,0,5,2016,2012,1984,5,0.037544,0.037088,0.035002,5,1142791.840466259,1078515.962036238,1065416.5778819518
main-l1-n40-uniform-k1,adaptive,5,40,40,40,True,5,5,5,0,0,0,5,2036,2016,1988,5,0.038642,0.036988,0.036458,5,1097152.8882549785,1081431.8157240185,1035143.1085347548
main-l1-n40-uniform-k1,graph,5,40,40,40,True,5,5,5,0,0,0,5,2004,1996,1980,5,0.037398,0.037194,0.035652,5,1121956.6924716705,1075442.2756358553,1069575.9131504358
main-l1-n40-uniform-k1,lazy,5,40,40,40,True,5,5,5,0,0,0,5,2036,2020,2000,5,0.037201,0.036944,0.03534,5,1131861.9128466325,1082719.7921178,1075239.912905567
main-l1-n40-uniform-k1,paper,5,40,40,40,True,5,5,5,0,0,0,5,2016,2016,1964,5,0.027701,0.02628,0.025464,5,1570845.1146716934,1522070.0152207,1443991.1916537308
main-l1-n40-uniform-k1,profile,5,40,40,40,True,5,5,5,0,0,0,5,2016,2004,1996,5,0.037656,0.037048,0.036664,5,1090988.4355225833,1079680.4145972792,1062247.7161674101
main-l1-n40-zipf-k1,accept_id,5,37,32,29,True,5,5,5,11,8,3,5,2036,2020,2000,5,0.036279,0.035218,0.034419,5,1019873.7561674798,915174.7411771435,842557.8895377554
main-l1-n40-zipf-k1,accept_static_degree,5,37,32,29,True,5,5,5,11,8,3,5,2036,2004,1996,5,0.039852,0.039034,0.038194,5,928435.2102780287,819798.1247117898,755798.8011467292
main-l1-n40-zipf-k1,adaptive,5,37,32,29,True,5,5,5,11,8,3,5,2020,2004,1992,5,0.06636,0.064441,0.05647,5,655215.1584912343,496578.2653900467,437010.2471368294
main-l1-n40-zipf-k1,graph,5,37,32,29,True,5,5,5,11,8,3,5,2020,2016,1984,5,0.053636,0.052048,0.046307,5,799015.2676701146,614817.0919151553,546437.7908839103
main-l1-n40-zipf-k1,lazy,5,37,32,29,True,5,5,5,11,8,3,5,2052,1996,1984,5,0.051211,0.049031,0.044991,5,822386.6995621346,652648.3245293794,566284.5872956982
main-l1-n40-zipf-k1,paper,5,37,32,29,True,5,5,5,11,8,3,5,2004,2000,1996,5,0.041956,0.037123,0.029792,5,1241944.1460794844,862022.5203383438,691200.305081514
main-l1-n40-zipf-k1,profile,5,37,32,29,True,5,5,5,11,8,3,5,2008,1984,1968,5,0.066307,0.063796,0.054929,5,673596.8249922628,501598.8463226534,437359.5547981359
main-l1-n512-uniform-k1,accept_id,5,502,495,492,True,5,5,5,20,17,10,5,3972,3904,3816,5,0.268908,0.266108,0.265478,5,1890928.815193726,1850236.1683564489,1840778.2587353296
main-l1-n512-uniform-k1,accept_static_degree,5,502,495,492,True,5,5,5,20,17,10,5,3980,3904,3812,5,0.293905,0.29025,0.287392,5,1746743.124373678,1705426.3565891474,1674010.309453735
main-l1-n512-uniform-k1,adaptive,5,502,495,492,True,5,5,5,20,17,10,5,3988,3916,3860,5,0.344029,0.342104,0.31925,5,1572435.395458105,1446928.41942801,1430111.996372399
main-l1-n512-uniform-k1,graph,5,502,495,492,True,5,5,5,20,17,10,5,3936,3920,3916,5,0.316048,0.309862,0.30164,5,1664235.5125314945,1600712.5752754451,1556725.560674328
main-l1-n512-uniform-k1,lazy,5,502,495,492,True,5,5,5,20,17,10,5,3992,3924,3904,5,0.309925,0.306075,0.294651,5,1703710.4913949044,1620517.8469329413,1587480.8421392273
main-l1-n512-uniform-k1,paper,5,502,495,492,True,5,5,5,20,17,10,5,3900,3872,3840,5,0.272233,0.254037,0.243257,5,2063661.0662796958,1936725.7525478571,1818295.3572858544
main-l1-n512-uniform-k1,profile,5,502,495,492,True,5,5,5,20,17,10,5,4044,3920,3912,5,0.345486,0.337991,0.318994,5,1573697.3109212085,1464536.0379418388,1424080.8600059047
main-l1-n512-zipf-k1,accept_id,5,295,290,286,True,5,5,5,226,222,217,5,3976,3932,3860,5,0.271538,0.269601,0.268478,5,1097355.9301858437,1072713.5929200903,1056391.3523656148
main-l1-n512-zipf-k1,accept_static_degree,5,295,290,286,True,5,5,5,226,222,217,5,3936,3928,3904,5,0.316495,0.312481,0.31158,5,946787.3419346556,923522.7616515135,917834.5522989187
main-l1-n512-zipf-k1,adaptive,5,295,290,286,True,5,5,5,226,222,217,5,3976,3904,3772,5,0.590732,0.583089,0.561969,5,524939.9877929209,499380.42970416363,489276.12794399675
main-l1-n512-zipf-k1,graph,5,295,290,286,True,5,5,5,226,222,217,5,3972,3916,3908,5,0.885416,0.871982,0.839573,5,346547.1568448937,338309.735751426,327529.6583752722
main-l1-n512-zipf-k1,lazy,5,295,290,286,True,5,5,5,226,222,217,5,3932,3932,3864,5,0.67815,0.677358,0.656602,5,440710.9339635749,435141.11109963845,424684.80424684804
main-l1-n512-zipf-k1,paper,5,295,290,286,True,5,5,5,226,222,217,5,3988,3948,3856,5,1.269849,1.240211,1.052779,5,280210.7564835545,232218.54990803986,228373.6097756505
main-l1-n512-zipf-k1,profile,5,295,290,286,True,5,5,5,226,222,217,5,3988,3928,3816,5,0.588522,0.581291,0.566111,5,521099.2190577466,502521.1229217771,485963.14156480134
main-l2-n128-uniform-k1,accept_id,5,126,126,122,True,5,5,5,6,2,2,5,2016,1996,1980,5,0.138991,0.127965,0.127059,5,991665.2893537647,974779.5141575119,899338.8061097481
main-l2-n128-uniform-k1,accept_static_degree,5,126,126,122,True,5,5,5,6,2,2,5,2072,2004,1984,5,0.158669,0.154351,0.151924,5,829362.0494457755,816321.2418448861,773086.4526104341
main-l2-n128-uniform-k1,adaptive,5,126,126,122,True,5,5,5,6,2,2,5,2040,2000,1968,5,0.158902,0.14843,0.1457,5,864790.6657515443,848884.9962945495,767768.8134825239
main-l2-n128-uniform-k1,graph,5,126,126,122,True,5,5,5,6,2,2,5,2004,2004,1984,5,0.155412,0.1475,0.141588,5,889905.9242308671,854237.2881355933,785010.1665251075
main-l2-n128-uniform-k1,lazy,5,126,126,122,True,5,5,5,6,2,2,5,2032,2012,1980,5,0.156794,0.145647,0.142601,5,883584.2665899958,858497.7651804207,778090.99838004
main-l2-n128-uniform-k1,paper,5,126,126,122,True,5,5,5,6,2,2,5,2040,2012,2000,5,0.12418,0.121955,0.118119,5,1058254.81082637,1033167.9717928745,982444.8381381865
main-l2-n128-uniform-k1,profile,5,126,126,122,True,5,5,5,6,2,2,5,2036,2016,1980,5,0.176482,0.166539,0.158175,5,796586.0597439545,756579.5399275846,691288.6300019266
main-l2-n128-zipf-k1,accept_id,5,70,61,57,True,5,5,5,71,67,58,5,2020,1992,1968,5,0.126214,0.123864,0.121889,5,574293.0042907891,494973.1821907026,460182.1352451075
main-l2-n128-zipf-k1,accept_static_degree,5,70,63,60,True,5,5,5,68,65,58,5,3872,2036,2000,5,0.164034,0.157592,0.15581,5,433901.33083736757,404338.6175470124,382375.0589494883
main-l2-n128-zipf-k1,adaptive,5,70,63,60,True,5,5,5,68,65,58,5,3912,1984,1980,5,0.311049,0.28841,0.273364,5,256068.83130185393,218439.02777296212,196110.58064806508
main-l2-n128-zipf-k1,graph,5,70,63,60,True,5,5,5,68,65,58,5,2056,2020,2000,5,0.344297,0.326612,0.284869,5,245726.983280034,192889.42231148886,174268.14639686083
main-l2-n128-zipf-k1,lazy,5,70,63,60,True,5,5,5,68,65,58,5,3984,2072,2000,5,0.306608,0.294027,0.270136,5,259128.73515562533,214266.03679253947,197452.20833840675
main-l2-n128-zipf-k1,paper,5,70,63,60,True,5,5,5,68,65,58,5,2008,2004,1996,5,0.314625,0.300709,0.269084,5,260141.8144519927,202853.92189791458,193718.98478337377
