condition,seed,numerator,denominator,commit_delta,commit_delta_defined,complete,successful,total_ms_delta,total_ms_delta_defined,total_ms_ratio,total_ms_ratio_defined,validator_rate_ratio,validator_rate_ratio_defined
main-l1-n128-uniform-k1,29,paper,adaptive,0,3,True,3,-0.03147899999999999,3,0.7037716673253911,3,1.4209153997352477,3
main-l1-n128-uniform-k1,47,adaptive,accept_id,0,3,True,3,0.004281999999999994,3,1.0479351610339307,3,0.954257512471825,3
main-l1-n128-uniform-k1,47,adaptive,accept_static_degree,0,3,True,3,0.0014190000000000036,3,1.0155959773589054,3,0.9846435219254578,3
main-l1-n128-uniform-k1,47,graph,adaptive,0,3,True,3,-0.000900999999999999,3,0.9902493398554175,3,1.0098466716938244,3
main-l1-n128-uniform-k1,47,paper,adaptive,0,3,True,3,-0.018278000000000003,3,0.8019074455402623,3,1.2470267055897934,3
main-l1-n128-uniform-k1,71,adaptive,accept_id,0,3,True,3,0.018345,3,1.2103567292366613,3,0.8262027019345547,3
main-l1-n128-uniform-k1,71,adaptive,accept_static_degree,0,3,True,3,0.0075910000000000005,3,1.0793075347904217,3,0.9265199841249867,3
main-l1-n128-uniform-k1,71,graph,adaptive,0,3,True,3,-0.010169999999999998,3,0.9022782523469555,3,1.1083055558513755,3
main-l1-n128-uniform-k1,71,paper,adaptive,0,3,True,3,-0.02953399999999999,3,0.714114242016514,3,1.400336166348122,3
main-l1-n128-uniform-k1,101,adaptive,accept_id,0,3,True,3,0.018901,3,1.2212558237538922,3,0.818829258006077,3
main-l1-n128-uniform-k1,101,adaptive,accept_static_degree,0,3,True,3,0.009279999999999997,3,1.1007031860404548,3,0.9085101348686805,3
main-l1-n128-uniform-k1,101,graph,adaptive,0,3,True,3,-0.008918999999999996,3,0.9154132129511959,3,1.0924028469898366,3
main-l1-n128-uniform-k1,101,paper,adaptive,0,3,True,3,-0.03168700000000001,3,0.6962722976794118,3,1.4362197136563877,3
main-l1-n128-zipf-k1,11,adaptive,accept_id,0,3,True,3,0.06769100000000002,3,1.751070723209729,3,0.5710791613070835,3
main-l1-n128-zipf-k1,11,adaptive,accept_static_degree,0,3,True,3,0.05793800000000002,3,1.5800818990979086,3,0.6328785872244435,3
main-l1-n128-zipf-k1,11,graph,adaptive,0,3,True,3,-0.0025060000000000082,3,0.9844020365736763,3,1.0158451149497965,3
main-l1-n128-zipf-k1,11,paper,adaptive,0,3,True,3,-0.019969000000000015,3,0.8723177063352003,3,1.146371319460224,3
main-l1-n128-zipf-k1,29,adaptive,accept_id,0,3,True,3,0.07567700000000001,3,1.8578505276760715,3,0.5382564340366335,3
main-l1-n128-zipf-k1,29,adaptive,accept_static_degree,0,3,True,3,0.06559700000000002,3,1.6673347101132285,3,0.5997596007175369,3
main-l1-n128-zipf-k1,29,graph,adaptive,0,3,True,3,-0.008163000000000004,3,0.950193417696804,3,1.052417309334686,3
main-l1-n128-zipf-k1,29,paper,adaptive,0,3,True,3,-0.019621,3,0.8791691299635432,3,1.137437571359526,3
main-l1-n128-zipf-k1,47,adaptive,accept_id,0,3,True,3,0.06507399999999999,3,1.720961666297363,3,0.5810704675087232,3
main-l1-n128-zipf-k1,47,adaptive,accept_static_degree,0,3,True,3,0.055438,3,1.5549571554416592,3,0.6431045360320342,3
