condition,seed,repetition,numerator,denominator,commit_delta,status,total_ms_delta,total_ms_ratio,undefined_rate_ratio,undefined_time_ratio,validator_rate_ratio
main-l1-n40-uniform-k1,71,3,adaptive,accept_id,0,ok,0.0020730000000000054,1.0566022280471823,False,False,0.9464299558105278
main-l1-n40-uniform-k1,101,1,paper,adaptive,0,ok,-0.011772999999999999,0.6838359696001289,False,False,1.4623389883757463
main-l1-n40-uniform-k1,101,1,graph,adaptive,0,ok,-0.0014300000000000007,0.9615973359830277,False,False,1.0399363252995224
main-l1-n40-uniform-k1,101,1,adaptive,accept_static_degree,0,ok,0.002235000000000001,1.0638534940860522,False,False,0.9399790530923544
main-l1-n40-uniform-k1,101,1,adaptive,accept_id,0,ok,0.0013019999999999976,1.0362320857103102,False,False,0.9650347772376936
main-l1-n40-uniform-k1,101,2,paper,adaptive,0,ok,-0.011785999999999998,0.6786979990185923,False,False,1.473409383033419
main-l1-n40-uniform-k1,101,2,graph,adaptive,0,ok,-0.00044099999999999695,0.9879777547571017,False,False,1.0121685383957395
main-l1-n40-uniform-k1,101,2,adaptive,accept_static_degree,0,ok,0.0025029999999999983,1.0732321015828432,False,False,0.93176489831525
main-l1-n40-uniform-k1,101,2,adaptive,accept_id,0,ok,0.001471,1.041776717503053,False,False,0.9598985878632571
main-l1-n40-uniform-k1,101,3,paper,adaptive,0,ok,-0.010462999999999997,0.7160420115613212,False,False,1.3965661006670709
main-l1-n40-uniform-k1,101,3,graph,adaptive,0,ok,-0.0002669999999999964,0.9927538198496486,False,False,1.0072990705303444
main-l1-n40-uniform-k1,101,3,adaptive,accept_static_degree,0,ok,0.0005199999999999996,1.0143144217799434,False,False,0.9858875892202893
main-l1-n40-uniform-k1,101,3,adaptive,accept_id,0,ok,0.002044999999999998,1.058760990747658,False,False,0.9445002306836379
main-l1-n40-zipf-k1,11,1,paper,adaptive,0,ok,-0.032937,0.5405379014033423,False,False,1.850009032491161
main-l1-n40-zipf-k1,11,1,graph,adaptive,0,ok,-0.018049999999999997,0.7482074603130319,False,False,1.336527705272578
main-l1-n40-zipf-k1,11,1,adaptive,accept_static_degree,0,ok,0.035255,1.9677197990722188,False,False,0.5082024384119632
main-l1-n40-zipf-k1,11,1,adaptive,accept_id,0,ok,0.036468,2.035493213697541,False,False,0.49128142175599143
