condition,suite,arity,n,distribution,workers,policy_k,key_count,selector_only,mode,metric,count,median,minimum,maximum,q1,q3,iqr,expected_repetitions
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,adaptive,selector.total_ms,5,0.147018,0.144392,0.157073,0.145158,0.156389,0.011230999999999991,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,adaptive,selector.tree_updates,5,0,0,0,0.0,0.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,adaptive,selector.trim_key_visits,5,768,768,768,768.0,768.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,adaptive,selector.trim_ms,5,0.014564,0.014121,0.014674,0.014346,0.014647,0.0003010000000000009,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,adaptive,selector_ms,5,0.147018,0.144392,0.157073,0.145158,0.156389,0.011230999999999991,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,adaptive,sync_wait_ms,5,0.003207,0.002768,0.00341,0.003051,0.003322,0.000271,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,adaptive,value_bytes,5,32,32,32,32.0,32.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,abort_count,5,4,2,6,2.0,4.0,2.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,actual_arity,5,2,2,2,2.0,2.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,apply_worker_ms,5,0.021682,0.017812,0.022151,0.021293,0.021911,0.0006180000000000005,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,arity_max,5,2,2,2,2.0,2.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,arity_min,5,2,2,2,2.0,2.0,0.0,5
