condition,suite,arity,n,distribution,workers,policy_k,key_count,selector_only,baseline,mode,metric,count,median,minimum,maximum,q1,q3,iqr,expected_pairs
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,adaptive,batch_ms,5,0.9965712007442354,0.950249486351629,1.013983123138099,0.9769575640380388,1.0022758585169258,0.025318294478887005,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,adaptive,selector_ms,5,0.9920145832483097,0.9077053344623202,1.0550376752174637,0.9854503368743025,1.0010486671057428,0.015598330231440305,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,lazy,batch_ms,5,0.9774878118726699,0.9737515324376392,1.0322199251196515,0.9743346729586125,0.9960439148856481,0.021709241927035605,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,lazy,selector_ms,5,0.9865785698521298,0.9538063179699637,1.0540084271412065,0.9581447294944652,0.9944896279452591,0.03634489845079392,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,profile,batch_ms,5,0.9493760899923419,0.9412556606486557,0.9772430475407503,0.9456240148452757,0.9515150746117145,0.005891059766438778,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,profile,selector_ms,5,0.905904614209497,0.8832282284142581,0.9428551976827668,0.9002832148026937,0.9091215100079165,0.008838295205222835,5
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,graph,adaptive,batch_ms,5,1.0809620122825727,1.0087604084681443,1.095757660612849,1.0325688197714098,1.0901907770604862,0.057621957289076375,5
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,graph,adaptive,selector_ms,5,1.1196656191259398,0.9952143709733622,1.1418472596460527,1.052774603732677,1.1226155295268088,0.0698409257941317,5
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,graph,lazy,batch_ms,5,1.0721486791425126,1.0284632939017815,1.1266632300094883,1.0514329008999066,1.1139017875070212,0.06246888660711458,5
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,graph,lazy,selector_ms,5,1.1295515218161953,1.0344382496522653,1.1990058674319097,1.0683192418470686,1.1545587389079015,0.08623949706083289,5
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,graph,profile,batch_ms,5,0.9103313719417776,0.8711715007478954,0.9590793652139625,0.8925277332328144,0.9420863695965263,0.04955863636371183,5
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,graph,profile,selector_ms,5,0.8712465751131397,0.8111076199856193,0.9435411163886591,0.8449080605718584,0.909369837852666,0.0644617772808076,5
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,graph,adaptive,batch_ms,5,4.615497232902589,4.55117377438475,4.69247001451827,4.608068972974594,4.6286235151640085,0.02055454218941488,5
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,graph,adaptive,selector_ms,5,5.253925102481776,5.1841898354341565,5.35481439512743,5.253427037784295,5.283703809800251,0.0302767720159558,5
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,graph,lazy,batch_ms,5,1.3548277642592677,1.3344303341444836,1.388833369458869,1.3394696026307353,1.3750699517617715,0.03560034913103616,5
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,graph,lazy,selector_ms,5,1.3753999921445585,1.3503618806896625,1.4069803453487182,1.3558578894710342,1.3935728828846754,0.03771499341364115,5
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,graph,profile,batch_ms,5,7.74407648532737,7.554517979056027,7.88117410401543,7.646525964220364,7.80078493248097,0.15425896826060637,5
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,graph,profile,selector_ms,5,10.053569317548511,9.715736909027859,10.403080052873914,9.891257033150852,10.183664195986653,0.2924071628358007,5
zero_commit-l1-n2-identical-w1-k2,zero_commit,1,2,identical,1,2,10000,False,graph,adaptive,batch_ms,5,0.7264912464618932,0.7161131611316113,0.8224061597690085,0.7235864592863679,0.7402547143259217,0.016668255039553825,5
zero_commit-l1-n2-identical-w1-k2,zero_commit,1,2,identical,1,2,10000,False,graph,adaptive,selector_ms,5,0.5880020080321284,0.5656359393232205,0.6079621796466783,0.5767100733423141,0.6065275179679039,0.029817444625589884,5
zero_commit-l1-n2-identical-w1-k2,zero_commit,1,2,identical,1,2,10000,False,graph,lazy,batch_ms,5,1.088121434392828,1.0014450867052023,1.1253272623790553,1.0340065850901765,1.124248275862069,0.09024169077189259,5
zero_commit-l1-n2-identical-w1-k2,zero_commit,1,2,identical,1,2,10000,False,graph,lazy,selector_ms,5,1.0807854137447406,0.9971056439942112,1.0977626022104412,1.0116521739130435,1.082213438735178,0.07056126482213454,5
zero_commit-l1-n2-identical-w1-k2,zero_commit,1,2,identical,1,2,10000,False,graph,profile,batch_ms,5,0.748315797441526,0.7161131611316113,0.7727815360127337,0.747626582278481,0.7545092695521212,0.0068826872736401645,5
zero_commit-l1-n2-identical-w1-k2,zero_commit,1,2,identical,1,2,10000,False,graph,profile,selector_ms,5,0.6050565326633166,0.5813221406086044,0.6430920194164623,0.603887399463807,0.6334975369458128,0.029610137482005805,5
