condition,suite,arity,n,distribution,workers,policy_k,key_count,selector_only,baseline,mode,seed,metric,status,ratio,baseline_ms,baseline_status,mode_ms,mode_status
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,native,adaptive,71,batch_ms,ok,0.5294471393448069,0.159353,ok,0.30098,ok
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,lazy,101,selector_ms,ok,0.9865785698521298,0.143046,ok,0.144992,ok
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,lazy,101,batch_ms,ok,0.9743346729586125,0.295049,ok,0.302821,ok
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,profile,101,selector_ms,ok,0.9002832148026937,0.143046,ok,0.15889,ok
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,profile,101,batch_ms,ok,0.9493760899923419,0.295049,ok,0.310782,ok
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,adaptive,101,selector_ms,ok,0.9854503368743025,0.143046,ok,0.145158,ok
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,adaptive,101,batch_ms,ok,0.9769575640380388,0.295049,ok,0.302008,ok
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,native,graph,101,batch_ms,ok,0.5520744012011565,0.162889,ok,0.295049,ok
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,native,lazy,101,batch_ms,ok,0.5379052311431506,0.162889,ok,0.302821,ok
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,native,profile,101,batch_ms,ok,0.5241262363972173,0.162889,ok,0.310782,ok
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,native,adaptive,101,batch_ms,ok,0.5393532621652407,0.162889,ok,0.302008,ok
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,graph,lazy,11,selector_ms,ok,1.1990058674319097,0.327572,ok,0.273203,ok
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,graph,lazy,11,batch_ms,ok,1.1266632300094883,0.452415,ok,0.401553,ok
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,graph,profile,11,selector_ms,ok,0.9435411163886591,0.327572,ok,0.347173,ok
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,graph,profile,11,batch_ms,ok,0.9590793652139625,0.452415,ok,0.471718,ok
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,graph,adaptive,11,selector_ms,ok,1.1418472596460527,0.327572,ok,0.286879,ok
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,graph,adaptive,11,batch_ms,ok,1.0901907770604862,0.452415,ok,0.414987,ok
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,native,graph,11,batch_ms,ok,0.2901605826508847,0.131273,ok,0.452415,ok
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,native,lazy,11,batch_ms,ok,0.32691325927088083,0.131273,ok,0.401553,ok
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,native,profile,11,batch_ms,ok,0.278287027418924,0.131273,ok,0.471718,ok
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,native,adaptive,11,batch_ms,ok,0.31633039107249145,0.131273,ok,0.414987,ok
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,graph,lazy,29,selector_ms,ok,1.1295515218161953,0.31226,ok,0.276446,ok
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,graph,lazy,29,batch_ms,ok,1.0721486791425126,0.440919,ok,0.411248,ok
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,graph,profile,29,selector_ms,ok,0.8712465751131397,0.31226,ok,0.358406,ok
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,graph,profile,29,batch_ms,ok,0.9103313719417776,0.440919,ok,0.48435,ok
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,graph,adaptive,29,selector_ms,ok,1.1226155295268088,0.31226,ok,0.278154,ok
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,graph,adaptive,29,batch_ms,ok,1.0809620122825727,0.440919,ok,0.407895,ok
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,native,graph,29,batch_ms,ok,0.2955917073203922,0.130332,ok,0.440919,ok
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,native,lazy,29,batch_ms,ok,0.31691825856903866,0.130332,ok,0.411248,ok
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,native,profile,29,batch_ms,ok,0.26908640445958504,0.130332,ok,0.48435,ok
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,native,adaptive,29,batch_ms,ok,0.3195234067590924,0.130332,ok,0.407895,ok
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,graph,lazy,47,selector_ms,ok,1.0683192418470686,0.287458,ok,0.269075,ok
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,graph,lazy,47,batch_ms,ok,1.0514329008999066,0.419098,ok,0.398597,ok
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,graph,profile,47,selector_ms,ok,0.8449080605718584,0.287458,ok,0.340224,ok
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,graph,profile,47,batch_ms,ok,0.8925277332328144,0.419098,ok,0.469563,ok
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,graph,adaptive,47,selector_ms,ok,1.052774603732677,0.287458,ok,0.273048,ok
