condition,suite,arity,n,distribution,workers,policy_k,key_count,selector_only,baseline,mode,metric,count,median,minimum,maximum,q1,q3,iqr,expected_pairs
arity-l3-n512-uniform-w1-k2,arity,3,512,uniform,1,2,10000,False,graph,lazy,selector_ms,5,0.7118612250268647,0.6942437536161439,0.7240138568954126,0.707638943200599,0.7206552598087737,0.013016316608174705,5
arity-l3-n512-uniform-w1-k2,arity,3,512,uniform,1,2,10000,False,graph,profile,batch_ms,5,0.7751989762214955,0.758220567505802,0.7945582933857067,0.7730752197065263,0.7921733888010905,0.019098169094564188,5
arity-l3-n512-uniform-w1-k2,arity,3,512,uniform,1,2,10000,False,graph,profile,selector_ms,5,0.6538118258394847,0.6366304845375015,0.673099589953019,0.650464580915311,0.6699870051726492,0.01952242425733819,5
arity-l3-n512-zipf-w1-k2,arity,3,512,zipf,1,2,10000,False,graph,adaptive,batch_ms,5,1.9547485260676951,1.8402351483636292,2.056717608955154,1.9086995011200654,2.017122463431746,0.10842296231168058,5
arity-l3-n512-zipf-w1-k2,arity,3,512,zipf,1,2,10000,False,graph,adaptive,selector_ms,5,2.185980558604874,2.0365937136878314,2.304088530935937,2.1267345576886427,2.265556527375348,0.13882196968670524,5
arity-l3-n512-zipf-w1-k2,arity,3,512,zipf,1,2,10000,False,graph,lazy,batch_ms,5,1.950153645427209,1.8212656194288308,2.040326858232516,1.895059392571335,1.9872673549618347,0.09220796239049966,5
arity-l3-n512-zipf-w1-k2,arity,3,512,zipf,1,2,10000,False,graph,lazy,selector_ms,5,2.1744232103083774,2.0141959932473115,2.2928701961596283,2.111483805700014,2.2325731078723865,0.12108930217237246,5
arity-l3-n512-zipf-w1-k2,arity,3,512,zipf,1,2,10000,False,graph,profile,batch_ms,5,1.275007169958046,1.1478454970513075,1.2926959834230267,1.2353114510619336,1.2918007058840042,0.05648925482207057,5
arity-l3-n512-zipf-w1-k2,arity,3,512,zipf,1,2,10000,False,graph,profile,selector_ms,5,1.311426866397103,1.1637335665682205,1.3352390445437203,1.269814601002813,1.3338828697963934,0.0640682687935803,5
arity-l3-n8192-uniform-w1-k2,arity,3,8192,uniform,1,2,10000,False,graph,adaptive,batch_ms,5,1.0333580168470906,1.0183760784118783,1.0473224084492576,1.0296529446509277,1.034595901786287,0.004942957135359194,5
arity-l3-n8192-uniform-w1-k2,arity,3,8192,uniform,1,2,10000,False,graph,adaptive,selector_ms,5,1.038803556733513,1.0248728657374295,1.0546248884917517,1.0377067575397205,1.038841312981957,0.0011345554422363957,5
arity-l3-n8192-uniform-w1-k2,arity,3,8192,uniform,1,2,10000,False,graph,lazy,batch_ms,5,1.0161008180623292,1.002515440052153,1.0295387081508776,1.010340851860377,1.0258399143497703,0.015499062489393367,5
arity-l3-n8192-uniform-w1-k2,arity,3,8192,uniform,1,2,10000,False,graph,lazy,selector_ms,5,1.0230140783357484,1.0093505351444487,1.0318112267757802,1.0226446017579258,1.031808974423445,0.009164372665519283,5
arity-l3-n8192-uniform-w1-k2,arity,3,8192,uniform,1,2,10000,False,graph,profile,batch_ms,5,0.823822347562399,0.8117278338597551,0.8244002535602104,0.8213435693288661,0.8240307038243737,0.002687134495507615,5
arity-l3-n8192-uniform-w1-k2,arity,3,8192,uniform,1,2,10000,False,graph,profile,selector_ms,5,0.7978982522920819,0.7885995145725216,0.7991733996710746,0.792936479380214,0.7979097334756661,0.004973254095452018,5
arity-l3-n8192-zipf-w1-k2,arity,3,8192,zipf,1,2,10000,False,graph,adaptive,batch_ms,5,20.94776237297173,20.259878309931967,21.674823015741374,20.360123691105166,21.23801841537886,0.8778947242736947,5
arity-l3-n8192-zipf-w1-k2,arity,3,8192,zipf,1,2,10000,False,graph,adaptive,selector_ms,5,23.181891463482824,22.450560232099235,24.011310808301378,22.631589024103956,23.49112285069102,0.8595338265870645,5
arity-l3-n8192-zipf-w1-k2,arity,3,8192,zipf,1,2,10000,False,graph,lazy,batch_ms,5,21.11665356851426,20.200237538693084,21.44257443766465,20.36628893193497,21.131448346980115,0.7651594150451437,5
arity-l3-n8192-zipf-w1-k2,arity,3,8192,zipf,1,2,10000,False,graph,lazy,selector_ms,5,23.367598865551756,22.502662615510644,23.779496476546804,22.521644122781936,23.378581213433733,0.8569370906517975,5
arity-l3-n8192-zipf-w1-k2,arity,3,8192,zipf,1,2,10000,False,graph,profile,batch_ms,5,5.313186754943284,4.630756683460259,5.563695883607364,5.107112335502139,5.551020846620412,0.44390851111827345,5
arity-l3-n8192-zipf-w1-k2,arity,3,8192,zipf,1,2,10000,False,graph,profile,selector_ms,5,5.42653822562977,4.715878755891065,5.694245854954219,5.221655801285957,5.6767768401306595,0.4551210388447027,5
arity-l4-n512-uniform-w1-k2,arity,4,512,uniform,1,2,10000,False,graph,adaptive,batch_ms,5,0.5679020570363762,0.5657682370803591,0.6294371827073234,0.5664382800994665,0.5756558807831378,0.009217600683671279,5
arity-l4-n512-uniform-w1-k2,arity,4,512,uniform,1,2,10000,False,graph,adaptive,selector_ms,5,0.4277288550391359,0.42432213060193175,0.4906745729571459,0.4267949450542895,0.44258894102768903,0.015793995973399533,5
arity-l4-n512-uniform-w1-k2,arity,4,512,uniform,1,2,10000,False,graph,lazy,batch_ms,5,0.5672865103123599,0.55458309660504,0.6266813191193155,0.5614393943019589,0.5694035636629626,0.007964169361003748,5
arity-l4-n512-uniform-w1-k2,arity,4,512,uniform,1,2,10000,False,graph,lazy,selector_ms,5,0.4293422740109883,0.4147499404743418,0.4878055094013036,0.4198393123563488,0.4379617962347849,0.01812248387843607,5
arity-l4-n512-uniform-w1-k2,arity,4,512,uniform,1,2,10000,False,graph,profile,batch_ms,5,0.5345727614007615,0.5317268038981804,0.5912089424711987,0.5317477653878782,0.5357342815102756,0.003986516122397421,5
arity-l4-n512-uniform-w1-k2,arity,4,512,uniform,1,2,10000,False,graph,profile,selector_ms,5,0.3964277948719553,0.39411224987491034,0.4509416166522414,0.3948447333273412,0.40014133967293297,0.005296606345591759,5
arity-l4-n512-zipf-w1-k2,arity,4,512,zipf,1,2,10000,False,graph,adaptive,batch_ms,5,1.7644701852865978,1.6546685459890103,1.9553518824063438,1.7225744960521618,1.865658810086996,0.14308431403483413,5
