condition,suite,arity,n,distribution,workers,policy_k,key_count,selector_only,mode,metric,count,median,minimum,maximum,q1,q3,iqr,expected_repetitions
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,adaptive,selector.select_ms,5,0.007869,0.007036,0.009893,0.007757,0.008712,0.0009549999999999993,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,adaptive,selector.subsets,5,9,8,13,9.0,11.0,2.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,adaptive,selector.switch_ms,5,0,0,0,0.0,0.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,adaptive,selector.switch_queries,5,0,0,0,0.0,0.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,adaptive,selector.switch_remaining,5,0,0,0,0.0,0.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,adaptive,selector.switch_round,5,0,0,0,0.0,0.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,adaptive,selector.switches,5,0,0,0,0.0,0.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,adaptive,selector.total_ms,5,0.379142,0.370428,0.384952,0.379008,0.379204,0.00019599999999997397,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,adaptive,selector.tree_updates,5,88,76,124,84.0,104.0,20.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,adaptive,selector.trim_key_visits,5,1536,1536,1536,1536.0,1536.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,adaptive,selector.trim_ms,5,0.027983,0.027575,0.029001,0.027903,0.028841,0.0009379999999999979,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,adaptive,selector_ms,5,0.379142,0.370428,0.384952,0.379008,0.379204,0.00019599999999997397,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,adaptive,sync_wait_ms,5,0.003039,0.002976,0.003377,0.002995,0.003112,0.00011700000000000035,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,adaptive,value_bytes,5,32,32,32,32.0,32.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,abort_count,5,12,10,16,10.0,14.0,4.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,actual_arity,5,1,1,1,1.0,1.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,apply_worker_ms,5,0.034497,0.033846,0.035191,0.034078,0.034637,0.0005590000000000039,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,arity_max,5,1,1,1,1.0,1.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,arity_min,5,1,1,1,1.0,1.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,batch_ms,5,0.772448,0.758666,0.777344,0.768804,0.77435,0.00554599999999994,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,commit_count,5,500,496,502,498.0,502.0,4.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,commit_wall_ms,5,0.072795,0.072379,0.073794,0.072404,0.073788,0.0013840000000000102,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,commit_worker_ms,5,0.07153,0.071095,0.072664,0.071146,0.072564,0.0014180000000000026,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,dependency_worker_ms,5,0,0,0,0.0,0.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,extract_ms,5,0.207369,0.203541,0.213875,0.20369,0.210548,0.006858000000000003,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,initial_core_size,5,18,16,26,18.0,22.0,4.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,peak_rss_kib,5,8500,8364,8688,8444.0,8540.0,96.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,read_wall_ms,5,0.332651,0.329943,0.338704,0.331344,0.333246,0.0019019999999999593,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,read_worker_ms,5,0.330803,0.327737,0.336777,0.329453,0.331255,0.0018020000000000258,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,reservation_worker_ms,5,0.044244,0.044038,0.044577,0.044079,0.044486,0.00040699999999999764,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,round_count,5,6,5,8,5.0,7.0,2.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,runner_peak_rss_kib,5,8500,8364,8688,8444.0,8540.0,96.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,selector.B,5,0,0,0,0.0,0.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,selector.build_ms,5,0.013341,0.012455,0.014539,0.012674,0.014164,0.00149,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,selector.certificate_ms,5,0.008472,0.008303,0.009195,0.008325,0.008558,0.00023299999999999883,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,selector.degree_queries,5,0,0,0,0.0,0.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,selector.graph_bytes,5,144,128,208,144.0,176.0,32.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,selector.heavy_subsets,5,0,0,0,0.0,0.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,selector.heavy_updates,5,0,0,0,0.0,0.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,selector.incidences,5,0,0,0,0.0,0.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,selector.index_payload_bytes,5,0,0,0,0.0,0.0,0.0,5
