condition,suite,arity,n,distribution,workers,policy_k,key_count,selector_only,baseline,mode,seed,metric,status,ratio,baseline_ms,baseline_status,mode_ms,mode_status
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,profile,71,batch_ms,ok,0.9685479704889585,0.772448,ok,0.797532,ok
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,adaptive,71,selector_ms,ok,0.9541579209875516,0.367305,ok,0.384952,ok
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,adaptive,71,batch_ms,ok,0.9749992111125837,0.772448,ok,0.792255,ok
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,native,graph,71,batch_ms,ok,0.5823395231782592,0.449827,ok,0.772448,ok
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,native,lazy,71,batch_ms,ok,0.5830195697734551,0.449827,ok,0.771547,ok
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,native,profile,71,batch_ms,ok,0.5640237633098107,0.449827,ok,0.797532,ok
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,native,adaptive,71,batch_ms,ok,0.5677805756984808,0.449827,ok,0.792255,ok
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,lazy,101,selector_ms,ok,0.9963025495688592,0.363497,ok,0.364846,ok
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,lazy,101,batch_ms,ok,0.9979464839703733,0.768804,ok,0.770386,ok
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,profile,101,selector_ms,ok,0.9456537291843898,0.363497,ok,0.384387,ok
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,profile,101,batch_ms,ok,0.9715843389709702,0.768804,ok,0.791289,ok
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,adaptive,101,selector_ms,ok,0.9590747424856467,0.363497,ok,0.379008,ok
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,adaptive,101,batch_ms,ok,0.9765740314971433,0.768804,ok,0.787246,ok
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,native,graph,101,batch_ms,ok,0.5797121242865542,0.445685,ok,0.768804,ok
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,native,lazy,101,batch_ms,ok,0.5785216761467628,0.445685,ok,0.770386,ok
